ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786120618.255,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,508,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,5.055,0
1786120619.255,c1,reserve,6000,0.053,26.29,13.62,3.56,S3,0,,0,36.0,obs,338,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.56,S3,4.808,0
1786120619.255,c1,search,6000,6.562,24.54,14.15,4.03,S3,0,,0,4474.0,obs,510,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.03,S3,4.808,0
1786120619.255,c1,recommend,6000,0.293,26.47,13.73,3.36,S3,0,,0,200.0,obs,684,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.36,S3,4.808,0
1786120619.255,c2,reserve,,0.0,26.34,13.67,3.61,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.61,S3,4.808,0
1786120619.255,c2,search,,0.0,31.1,20.71,10.59,S3,0,,0,4474.0,obs,510,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.59,S3,4.808,0
1786120619.255,c2,recommend,,0.0,26.76,14.03,3.65,S3,0,,0,200.0,obs,684,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.65,S3,4.808,0
1786120620.255,c1,reserve,6000,0.053,26.29,13.62,3.44,S3,0,,0,36.0,obs,339,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.44,S3,4.937,0
1786120620.255,c1,search,6000,6.562,24.54,14.15,4.2,S3,0,,0,4474.0,obs,510,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.2,S3,4.937,0
1786120620.255,c1,recommend,6000,0.293,26.47,13.73,3.56,S3,0,,0,200.0,obs,683,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.56,S3,4.937,0
1786120620.255,c2,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,339,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.937,0
1786120620.255,c2,search,,0.0,31.1,20.71,10.76,S3,0,,0,4474.0,obs,510,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.76,S3,4.937,0
1786120620.255,c2,recommend,,0.0,26.76,14.03,3.85,S3,0,,0,200.0,obs,683,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.85,S3,4.937,0
1786120621.255,c1,reserve,6000,0.053,26.29,13.62,3.45,S3,0,,0,36.0,obs,342,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.45,S3,4.724,0
1786120621.255,c1,search,6000,6.562,24.54,14.15,4.18,S3,0,,0,4474.0,obs,513,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.18,S3,4.724,0
1786120621.255,c1,recommend,6000,0.293,26.47,13.73,3.46,S3,0,,0,200.0,obs,679,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.46,S3,4.724,0
1786120621.255,c2,reserve,,0.0,26.34,13.67,3.5,S3,0,,0,36.0,obs,342,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.5,S3,4.724,0
1786120621.255,c2,search,,0.0,31.1,20.71,10.74,S3,0,,0,4474.0,obs,513,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.74,S3,4.724,0
1786120621.255,c2,recommend,,0.0,26.76,14.03,3.75,S3,0,,0,200.0,obs,679,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.75,S3,4.724,0
1786120622.255,c1,reserve,6000,0.053,26.29,13.62,3.48,S3,0,,0,36.0,obs,346,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.48,S3,4.578,0
1786120622.255,c1,search,6000,6.562,24.54,14.15,4.13,S3,0,,0,4474.0,obs,509,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.13,S3,4.578,0
1786120622.255,c1,recommend,6000,0.293,26.47,13.73,3.48,S3,0,,0,200.0,obs,680,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.48,S3,4.578,0
1786120622.255,c2,reserve,,0.0,26.34,13.67,3.54,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.54,S3,4.578,0
1786120622.255,c2,search,,0.0,31.1,20.71,10.69,S3,0,,0,4474.0,obs,509,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.69,S3,4.578,0
1786120622.255,c2,recommend,,0.0,26.76,14.03,3.77,S3,0,,0,200.0,obs,680,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.77,S3,4.578,0
1786120623.255,c1,reserve,6000,0.053,26.29,13.62,3.49,S3,0,,0,36.0,obs,341,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.49,S3,4.803,0
1786120623.255,c1,search,6000,6.562,24.54,14.15,4.22,S3,0,,0,4474.0,obs,509,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.22,S3,4.803,0
1786120623.255,c1,recommend,6000,0.293,26.47,13.73,3.59,S3,0,,0,200.0,obs,685,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.59,S3,4.803,0
1786120623.255,c2,reserve,,0.0,26.34,13.67,3.55,S3,0,,0,36.0,obs,341,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.55,S3,4.803,0
1786120623.255,c2,search,,0.0,31.1,20.71,10.79,S3,0,,0,4474.0,obs,509,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.79,S3,4.803,0
1786120623.255,c2,recommend,,0.0,26.76,14.03,3.88,S3,0,,0,200.0,obs,685,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.88,S3,4.803,0
1786120624.255,c1,reserve,6000,0.053,26.29,13.62,3.47,S3,0,,0,36.0,obs,338,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.47,S3,4.588,0
1786120624.255,c1,search,6000,6.562,24.54,14.15,4.23,S3,0,,0,4474.0,obs,513,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.23,S3,4.588,0
1786120624.255,c1,recommend,6000,0.293,26.47,13.73,3.67,S3,0,,0,200.0,obs,686,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.67,S3,4.588,0
1786120624.255,c2,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,338,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,4.588,0
1786120624.255,c2,search,,0.0,31.1,20.71,10.79,S3,0,,0,4474.0,obs,513,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.79,S3,4.588,0
1786120624.255,c2,recommend,,0.0,26.76,14.03,3.96,S3,0,,0,200.0,obs,686,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.96,S3,4.588,0
1786120625.255,c1,reserve,6000,0.053,26.29,13.62,3.52,S3,0,,0,36.0,obs,339,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.52,S3,4.804,0
1786120625.255,c1,search,6000,6.562,24.54,14.15,4.28,S3,0,,0,4474.0,obs,515,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.28,S3,4.804,0
1786120625.255,c1,recommend,6000,0.293,26.47,13.73,3.69,S3,0,,0,200.0,obs,684,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.69,S3,4.804,0
1786120625.255,c2,reserve,,0.0,26.34,13.67,3.57,S3,0,,0,36.0,obs,339,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.57,S3,4.804,0
1786120625.255,c2,search,,0.0,31.1,20.71,10.84,S3,0,,0,4474.0,obs,515,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.84,S3,4.804,0
1786120625.255,c2,recommend,,0.0,26.76,14.03,3.98,S3,0,,0,200.0,obs,684,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.98,S3,4.804,0
1786120626.255,c1,reserve,6000,0.053,26.29,13.62,3.56,S3,0,,0,36.0,obs,345,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.56,S3,5.071,0
1786120626.255,c1,search,6000,6.562,24.54,14.15,4.33,S3,0,,0,4474.0,obs,514,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.33,S3,5.071,0
1786120626.255,c1,recommend,6000,0.293,26.47,13.73,3.63,S3,0,,0,200.0,obs,679,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.63,S3,5.071,0
1786120626.255,c2,reserve,,0.0,26.34,13.67,3.61,S3,0,,0,36.0,obs,345,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.61,S3,5.071,0
1786120626.255,c2,search,,0.0,31.1,20.71,10.89,S3,0,,0,4474.0,obs,514,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.89,S3,5.071,0
1786120626.255,c2,recommend,,0.0,26.76,14.03,3.93,S3,0,,0,200.0,obs,679,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.93,S3,5.071,0
1786120627.255,c1,reserve,6000,0.053,26.29,13.62,3.49,S3,0,,0,36.0,obs,345,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.49,S3,4.917,0
1786120627.255,c1,search,6000,6.562,24.54,14.15,4.25,S3,0,,0,4474.0,obs,510,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.25,S3,4.917,0
1786120627.255,c1,recommend,6000,0.293,26.47,13.73,3.46,S3,0,,0,200.0,obs,684,26.47,13.73,3.71,S3,26.47,13.73,3.71,S3,26.47,13.73,3.46,S3,4.917,0
1786120627.255,c2,reserve,,0.0,26.34,13.67,3.55,S3,0,,0,36.0,obs,345,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.55,S3,4.917,0
1786120627.255,c2,search,,0.0,31.1,20.71,10.82,S3,0,,0,4474.0,obs,510,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.82,S3,4.917,0
1786120627.255,c2,recommend,,0.0,26.76,14.03,3.75,S3,0,,0,200.0,obs,684,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.75,S3,4.917,0
1786120628.255,c1,reserve,6000,0.053,26.29,13.62,3.54,S3,0,,0,36.0,obs,340,26.29,13.62,3.6,S3,26.29,13.62,3.6,S3,26.29,13.62,3.54,S3,4.798,0
1786120628.255,c1,search,6000,6.562,24.54,14.15,4.2,S3,0,,0,4474.0,obs,512,24.54,14.15,4.42,S3,24.54,14.15,4.42,S3,24.54,14.15,4.2,S3,4.798,0
