run_id,policy,t_rel_s,n_c1_search,c1_search_viol_pct,c1_search_viol_pct_roll3,rate_kbit
B_ramp_site_s3,site_s3,104,133,0.0,0.0,13309
B_ramp_site_s3,site_s3,105,132,0.0,0.0,13309
B_ramp_site_s3,site_s3,106,133,0.0,0.0,13309
B_ramp_site_s3,site_s3,107,135,0.0,0.0,13309
B_ramp_site_s3,site_s3,108,133,0.0,0.0,13309
B_ramp_site_s3,site_s3,109,133,0.0,0.0,13309
B_ramp_site_s3,site_s3,110,133,0.0,0.0,13309
B_ramp_site_s3,site_s3,111,134,0.0,0.0,11636
B_ramp_site_s3,site_s3,112,134,0.0,0.0,11636
B_ramp_site_s3,site_s3,113,133,0.0,0.0,11636
B_ramp_site_s3,site_s3,114,132,0.0,0.0,11636
B_ramp_site_s3,site_s3,115,133,0.0,0.0,11636
B_ramp_site_s3,site_s3,116,135,0.0,0.0,11636
B_ramp_site_s3,site_s3,117,133,0.0,0.0,11636
B_ramp_site_s3,site_s3,118,133,0.0,0.0,11636
B_ramp_site_s3,site_s3,119,133,0.0,0.0,11636
B_ramp_site_s3,site_s3,120,134,0.0,0.0,11636
B_ramp_site_s3,site_s3,121,134,0.0,0.0,11636
B_ramp_site_s3,site_s3,122,133,0.0,0.0,9964
B_ramp_site_s3,site_s3,123,132,0.0,0.0,9964
B_ramp_site_s3,site_s3,124,133,0.0,0.0,9964
B_ramp_site_s3,site_s3,125,135,0.0,0.0,9964
B_ramp_site_s3,site_s3,126,133,0.0,0.0,9964
B_ramp_site_s3,site_s3,127,133,0.0,0.0,9964
B_ramp_site_s3,site_s3,128,133,0.0,0.0,9964
B_ramp_site_s3,site_s3,129,134,0.0,0.2506,9964
B_ramp_site_s3,site_s3,130,133,0.7519,0.2506,9964
B_ramp_site_s3,site_s3,131,134,0.0,0.7557,8291
B_ramp_site_s3,site_s3,132,132,1.5152,0.5051,8291
B_ramp_site_s3,site_s3,133,133,0.0,0.5051,8291
B_ramp_site_s3,site_s3,134,135,0.0,0.0,8291
B_ramp_site_s3,site_s3,135,133,0.0,0.0,8291
B_ramp_site_s3,site_s3,136,133,0.0,0.0,8291
B_ramp_site_s3,site_s3,137,132,0.0,0.0,8291
B_ramp_site_s3,site_s3,138,135,0.0,0.0,8291
B_ramp_site_s3,site_s3,139,133,0.0,0.2506,8291
B_ramp_site_s3,site_s3,140,133,0.7519,0.2506,8291
B_ramp_site_s3,site_s3,141,133,0.0,0.7519,6618
B_ramp_site_s3,site_s3,142,133,1.5038,0.5013,6618
B_ramp_site_s3,site_s3,143,135,0.0,0.5013,6618
B_ramp_site_s3,site_s3,144,133,0.0,0.0,6618
B_ramp_site_s3,site_s3,145,132,0.0,0.0,6618
B_ramp_site_s3,site_s3,146,133,0.0,0.0,6618
B_ramp_site_s3,site_s3,147,135,0.0,0.0,6618
B_ramp_site_s3,site_s3,148,133,0.0,0.0,6618
B_ramp_site_s3,site_s3,149,133,0.0,0.0,6618
B_ramp_site_s3,site_s3,150,132,0.0,0.2488,6618
B_ramp_site_s3,site_s3,151,134,0.7463,0.995,6618
B_ramp_site_s3,site_s3,152,134,2.2388,0.995,4945
B_ramp_site_s3,site_s3,153,133,0.0,0.7463,4945
B_ramp_site_s3,site_s3,154,133,0.0,0.0,4945
B_ramp_site_s3,site_s3,155,133,0.0,0.0,4945
B_ramp_site_s3,site_s3,156,134,0.0,0.0,4945
B_ramp_site_s3,site_s3,157,134,0.0,0.0,4945
B_ramp_site_s3,site_s3,158,133,0.0,0.0,4945
B_ramp_site_s3,site_s3,159,132,0.0,0.4975,4945
B_ramp_site_s3,site_s3,160,134,1.4925,1.4925,4945
B_ramp_site_s3,site_s3,161,134,2.9851,3.4975,3273
