run_id,policy,t_rel_s,c1_search_viol_pct,n_c1_search,all_viol_pct,S1_pct,S2_pct,S3_pct
A_server_site_s3,site_s3,71,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,72,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,73,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,74,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,75,0.0,135,0.125,0.0,0.0,100.0
A_server_site_s3,site_s3,76,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,77,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,78,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,79,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,80,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,81,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,82,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,83,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,84,0.0,135,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,85,0.0,133,0.1248,0.0,0.0,100.0
A_server_site_s3,site_s3,86,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,87,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,88,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,89,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,90,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,91,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,92,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,93,0.0,135,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,94,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,95,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,96,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,97,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,98,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,99,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,100,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,101,0.0,132,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,102,0.0,135,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,103,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,104,0.0,134,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,105,0.0,132,0.125,0.0,0.0,100.0
A_server_site_s3,site_s3,106,0.0,133,0.0,0.0,0.0,100.0
A_server_site_s3,site_s3,107,0.0,134,0.0,0.0,0.0,100.0
