ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786118013.192,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,106,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.57,0
1786118014.196,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,229,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,5.032,0
1786118014.196,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,348,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,5.032,0
1786118014.196,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,462,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,5.032,0
1786118014.196,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,229,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,5.032,0
1786118014.196,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,348,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,5.032,0
1786118014.196,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,462,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,5.032,0
1786118015.196,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,obs,341,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.62,S3,4.61,0
1786118015.196,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,obs,515,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.35,S3,4.61,0
1786118015.196,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,obs,684,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.68,S3,4.61,0
