t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
43,,,7.0,6.84,3.79,3.64,26.85,17.05,17.2,45.0,35.0,35.0,0.0,56.77,43.23,266,pre
44,,,7.71,7.56,4.0,3.85,26.8,17.36,18.06,45.0,35.0,35.0,0.0,59.85,40.15,269,pre
45,,,7.19,7.04,3.81,3.66,26.72,17.62,17.36,45.0,35.0,35.0,0.0,60.3,39.7,267,pre
46,,,15.91,15.75,3.68,3.53,26.81,17.81,20.56,45.0,35.0,35.0,0.0,63.53,36.47,266,pre
47,,,6.28,6.13,4.07,3.92,27.72,17.0,17.32,45.0,35.0,35.0,0.0,53.41,46.59,264,pre
48,,,7.41,7.26,3.83,3.68,27.15,17.36,17.56,45.0,35.0,35.0,0.0,57.56,42.44,271,pre
49,,,6.73,6.57,3.85,3.7,27.16,17.18,17.7,45.0,35.0,35.0,0.0,59.4,40.6,266,pre
50,,,6.65,6.5,4.02,3.87,28.22,16.98,17.21,45.0,35.0,35.0,0.0,52.65,47.35,264,pre
51,,,7.16,7.0,3.87,3.71,26.72,16.96,18.17,45.0,35.0,35.0,0.0,61.57,38.43,268,pre
52,,,6.92,6.76,4.05,3.9,26.99,17.18,17.45,45.0,35.0,35.0,0.0,55.85,44.15,265,pre
53,,,6.08,5.93,3.92,3.77,26.64,17.28,17.36,45.0,35.0,35.0,0.0,59.85,40.15,269,pre
54,,,6.99,6.84,3.78,3.62,26.93,16.85,17.27,45.0,35.0,35.0,0.0,55.43,44.57,267,pre
55,,,6.96,6.81,3.87,3.72,27.05,17.18,17.27,45.0,35.0,35.0,0.0,55.22,44.78,268,pre
56,,,10.4,10.24,3.92,3.77,27.89,17.52,17.21,45.0,35.0,35.0,0.0,53.99,46.01,263,pre
57,,,8.41,8.25,3.9,3.75,27.18,17.16,17.14,45.0,35.0,35.0,0.0,55.56,44.44,270,pre
58,,,8.06,7.9,3.86,3.7,27.27,16.97,17.4,45.0,35.0,35.0,0.0,56.02,43.98,266,pre
59,,,8.25,8.09,4.1,3.94,28.07,17.04,17.59,45.0,35.0,35.0,0.0,53.38,46.62,266,pre
60,,,8.02,7.86,3.74,3.58,26.78,17.95,17.54,45.0,35.0,35.0,0.0,60.38,39.62,265,pre
61,,,6.54,6.39,3.93,3.77,26.56,17.49,17.47,45.0,35.0,35.0,0.0,59.25,40.75,265,pre
62,,,7.04,6.88,3.93,3.78,26.45,17.48,17.48,45.0,35.0,35.0,0.0,62.73,37.27,271,pre
63,,,6.2,6.05,3.8,3.65,26.9,17.05,17.3,45.0,35.0,35.0,0.0,57.68,42.32,267,pre
64,,,7.29,7.13,3.94,3.78,26.67,17.11,17.55,45.0,35.0,35.0,0.0,57.89,42.11,266,pre
65,,,6.93,6.77,4.09,3.94,27.04,17.07,17.8,45.0,35.0,35.0,0.0,55.13,44.87,263,pre
66,,,6.82,6.66,3.96,3.81,26.88,17.73,17.54,45.0,35.0,35.0,0.0,59.26,40.74,270,pre
67,,,8.36,8.2,3.98,3.82,26.65,17.26,17.59,45.0,35.0,35.0,0.0,61.8,38.2,267,pre
68,,,6.87,6.72,3.98,3.83,27.16,17.44,17.32,45.0,35.0,35.0,0.0,57.58,42.42,264,pre
69,,,7.35,7.2,3.76,3.61,26.69,17.43,17.57,45.0,35.0,35.0,0.0,60.45,39.55,268,pre
70,,,6.63,6.48,4.01,3.86,26.48,17.23,17.92,45.0,35.0,35.0,0.0,60.9,39.1,266,pre
71,,,6.64,6.48,3.77,3.62,26.57,17.09,17.51,45.0,35.0,35.0,0.0,62.31,37.69,268,pre
72,,,6.69,6.54,4.15,4.0,26.65,17.28,17.39,45.0,35.0,35.0,0.0,59.18,40.82,267,pre
73,,,6.31,6.16,3.82,3.66,26.45,17.13,17.67,45.0,35.0,35.0,0.0,60.53,39.47,266,pre
74,,,7.89,7.74,4.09,3.93,26.56,17.2,17.64,45.0,35.0,35.0,0.0,59.09,40.91,264,pre
75,,,6.94,6.79,3.84,3.69,27.64,17.17,17.21,45.0,35.0,35.0,0.0,52.77,47.23,271,pre
76,,,7.91,7.75,3.9,3.75,27.71,17.24,17.86,45.0,35.0,35.0,0.0,55.85,44.15,265,pre
77,,,8.36,8.2,3.88,3.73,27.24,17.04,17.25,45.0,35.0,35.0,0.0,55.26,44.74,266,pre
78,,,7.82,7.66,4.02,3.87,27.69,17.05,17.24,45.0,35.0,35.0,0.0,54.89,45.11,266,pre
