t_sec,fc_s1_ms,fc_s1_ms_dnet,fc_s2_ms,fc_s2_ms_dnet,fc_s3_ms,fc_s3_ms_dnet,lat_search_ms,lat_reserve_ms,lat_recommend_ms,slo_search,slo_reserve,slo_recommend,share_s1_pct,share_s2_pct,share_s3_pct,n_search,phase
219,,,7.0,6.85,7.16,7.0,27.8,17.35,17.32,45.0,35.0,35.0,0.0,54.48,45.52,268,stress
220,,,7.14,6.98,8.1,7.95,27.22,17.18,17.43,45.0,35.0,35.0,0.0,56.34,43.66,268,stress
221,,,7.21,7.06,6.78,6.62,26.66,17.51,17.46,45.0,35.0,35.0,0.0,60.75,39.25,265,stress
222,,,6.93,6.78,5.84,5.69,26.74,17.11,17.57,45.0,35.0,35.0,0.0,60.3,39.7,267,stress
223,,,6.37,6.21,6.91,6.76,27.02,17.0,17.14,45.0,35.0,35.0,0.0,55.85,44.15,265,stress
224,,,7.13,6.98,5.65,5.49,26.46,17.1,17.65,45.0,35.0,35.0,0.0,60.0,40.0,270,stress
225,,,7.2,7.04,8.55,8.4,27.04,17.15,17.47,45.0,35.0,35.0,0.0,58.65,41.35,266,stress
226,,,8.01,7.86,7.76,7.6,27.08,17.27,17.6,45.0,35.0,35.0,0.0,58.8,41.2,267,stress
227,,,7.36,7.2,8.7,8.55,27.11,17.1,17.58,45.0,35.0,35.0,0.0,59.85,40.15,264,stress
228,,,6.96,6.81,5.85,5.7,26.3,17.36,17.91,45.0,35.0,35.0,0.0,68.77,31.23,269,stress
229,,,7.29,7.13,6.22,6.06,26.54,17.27,17.7,45.0,35.0,35.0,0.0,68.16,31.84,267,stress
230,,,6.7,6.54,6.72,6.57,26.85,17.21,17.33,45.0,35.0,35.0,0.0,58.49,41.51,265,stress
231,,,7.57,7.42,6.34,6.19,27.08,17.57,17.57,45.0,35.0,35.0,0.0,58.43,41.57,267,stress
232,,,7.38,7.23,6.08,5.93,27.07,17.21,17.55,45.0,35.0,35.0,0.0,58.11,41.89,265,stress
233,,,7.19,7.04,6.71,6.56,27.03,16.97,17.77,45.0,35.0,35.0,0.0,59.33,40.67,268,stress
234,,,8.51,8.36,6.65,6.5,26.72,16.95,19.33,45.0,35.0,35.0,0.0,62.55,37.45,267,stress
235,,,7.3,7.14,7.62,7.47,27.04,17.4,17.41,45.0,35.0,35.0,0.0,57.52,42.48,266,stress
236,,,7.43,7.28,6.61,6.46,27.36,17.22,17.7,45.0,35.0,35.0,0.0,57.68,42.32,267,stress
237,,,6.36,6.2,6.21,6.05,27.3,16.95,17.26,45.0,35.0,35.0,0.0,55.39,44.61,269,stress
238,,,6.65,6.5,5.99,5.83,26.66,17.02,17.47,45.0,35.0,35.0,0.0,58.33,41.67,264,stress
239,,,7.66,7.51,6.4,6.24,27.69,16.91,17.77,45.0,35.0,35.0,0.0,55.6,44.4,268,transition
240,,,6.5,6.34,4.33,4.17,26.95,17.32,17.5,45.0,35.0,35.0,0.0,56.6,43.4,265,transition
241,,,7.31,7.15,3.99,3.84,26.85,17.18,17.5,45.0,35.0,35.0,0.0,59.55,40.45,267,transition
242,,,7.09,6.94,3.94,3.79,26.9,17.08,17.55,45.0,35.0,35.0,0.0,58.96,41.04,268,transition
243,,,7.69,7.54,4.13,3.98,26.56,17.34,17.6,45.0,35.0,35.0,0.0,60.15,39.85,266,post
244,,,6.6,6.45,3.83,3.68,26.63,16.95,17.6,45.0,35.0,35.0,0.0,60.67,39.33,267,post
245,,,6.64,6.48,3.92,3.76,27.05,17.13,17.23,45.0,35.0,35.0,0.0,57.89,42.11,266,post
246,,,6.86,6.7,4.01,3.85,26.97,17.26,17.59,45.0,35.0,35.0,0.0,57.09,42.91,268,post
247,,,7.43,7.28,4.04,3.89,28.21,16.99,17.35,45.0,35.0,35.0,0.0,52.06,47.94,267,post
248,,,9.3,9.15,4.05,3.9,26.84,17.59,17.59,45.0,35.0,35.0,0.0,61.28,38.72,266,post
249,,,8.03,7.88,3.62,3.46,27.36,17.68,17.38,45.0,35.0,35.0,0.0,57.95,42.05,264,post
250,,,6.85,6.69,3.71,3.56,26.8,17.65,17.33,45.0,35.0,35.0,0.0,60.07,39.93,268,post
251,,,6.32,6.17,3.82,3.67,26.9,17.18,17.22,45.0,35.0,35.0,0.0,57.25,42.75,269,post
252,,,6.82,6.67,3.91,3.76,26.7,17.18,17.75,45.0,35.0,35.0,0.0,64.04,35.96,267,post
253,,,7.83,7.67,4.11,3.95,27.81,17.15,17.71,45.0,35.0,35.0,0.0,57.2,42.8,264,post
254,,,6.45,6.29,4.17,4.02,26.47,17.32,17.73,45.0,35.0,35.0,0.0,62.55,37.45,267,post
255,,,6.59,6.44,4.16,4.01,26.94,16.99,17.6,45.0,35.0,35.0,0.0,59.11,40.89,269,post
256,,,7.5,7.35,3.87,3.72,26.87,17.54,17.67,45.0,35.0,35.0,0.0,61.65,38.35,266,post
257,,,8.41,8.26,3.79,3.63,26.89,17.18,17.87,45.0,35.0,35.0,0.0,59.77,40.23,266,post
258,,,8.39,8.24,4.04,3.89,26.75,17.37,17.89,45.0,35.0,35.0,0.0,62.03,37.97,266,post
259,,,6.82,6.66,3.73,3.58,26.89,17.27,17.25,45.0,35.0,35.0,0.0,56.23,43.77,265,post
260,,,6.76,6.61,3.86,3.7,26.95,17.22,17.31,45.0,35.0,35.0,0.0,57.41,42.59,270,post
261,,,6.81,6.66,3.88,3.73,27.99,17.07,17.16,45.0,35.0,35.0,0.0,51.88,48.12,266,post
262,,,7.4,7.25,3.93,3.78,26.38,17.55,17.51,45.0,35.0,35.0,0.0,64.04,35.96,267,post
263,,,8.13,7.97,3.95,3.79,27.05,17.45,17.4,45.0,35.0,35.0,0.0,59.25,40.75,265,post
264,,,6.98,6.83,3.75,3.6,26.71,17.8,17.96,45.0,35.0,35.0,0.0,60.82,39.18,268,post
265,,,6.95,6.8,3.98,3.83,27.36,17.03,17.27,45.0,35.0,35.0,0.0,55.26,44.74,266,post
266,,,7.03,6.87,3.69,3.53,27.13,17.03,17.37,45.0,35.0,35.0,0.0,55.64,44.36,266,post
267,,,6.42,6.26,3.9,3.75,27.51,17.01,17.19,45.0,35.0,35.0,0.0,53.18,46.82,267,post
268,,,7.04,6.89,4.04,3.89,26.72,17.26,17.29,45.0,35.0,35.0,0.0,58.65,41.35,266,post
269,,,7.16,7.01,3.81,3.66,26.68,17.22,17.39,45.0,35.0,35.0,0.0,58.74,41.26,269,post
270,,,6.4,6.25,3.95,3.8,26.64,17.33,17.34,45.0,35.0,35.0,0.0,57.3,42.7,267,post
271,,,6.65,6.49,3.79,3.64,27.67,17.02,17.27,45.0,35.0,35.0,0.0,54.68,45.32,267,post
272,,,6.62,6.47,3.77,3.62,26.94,17.18,17.71,45.0,35.0,35.0,0.0,58.33,41.67,264,post
273,,,7.02,6.86,3.71,3.56,26.55,17.22,18.03,45.0,35.0,35.0,0.0,62.78,37.22,266,post
274,,,7.53,7.37,3.69,3.54,26.72,17.44,17.27,45.0,35.0,35.0,0.0,57.62,42.38,269,post
275,,,8.63,8.48,4.01,3.86,26.95,17.13,17.76,45.0,35.0,35.0,0.0,58.05,41.95,267,post
276,,,8.45,8.3,4.11,3.96,26.88,17.67,17.65,45.0,35.0,35.0,0.0,59.62,40.38,265,post
277,,,7.46,7.3,3.97,3.82,27.28,17.75,17.41,45.0,35.0,35.0,0.0,57.36,42.64,265,post
278,,,7.01,6.86,3.98,3.83,26.89,16.92,17.47,45.0,35.0,35.0,0.0,57.62,42.38,269,post
279,,,6.42,6.27,4.07,3.92,26.59,17.15,17.37,45.0,35.0,35.0,0.0,57.68,42.32,267,post
280,,,7.56,7.41,4.02,3.87,27.11,16.91,17.85,45.0,35.0,35.0,0.0,56.93,43.07,267,post
281,,,7.57,7.41,4.22,4.07,28.07,17.05,17.25,45.0,35.0,35.0,0.0,53.96,46.04,265,post
282,,,6.87,6.72,3.92,3.76,26.39,17.47,17.6,45.0,35.0,35.0,0.0,62.31,37.69,268,post
283,,,7.06,6.9,3.91,3.76,26.75,17.3,17.32,45.0,35.0,35.0,0.0,59.4,40.6,266,post
284,,,7.02,6.87,3.99,3.84,26.58,17.46,17.3,45.0,35.0,35.0,0.0,59.93,40.07,267,post
285,,,6.86,6.7,3.89,3.73,27.24,16.88,17.45,45.0,35.0,35.0,0.0,55.85,44.15,265,post
286,,,6.9,6.75,3.87,3.72,26.69,18.55,17.21,45.0,35.0,35.0,0.0,58.11,41.89,265,post
287,,,5.77,5.62,3.95,3.8,27.16,16.77,17.39,45.0,35.0,35.0,0.0,53.51,46.49,271,post
288,,,6.67,6.51,3.8,3.65,27.05,17.07,17.18,45.0,35.0,35.0,0.0,55.81,44.19,267,post
289,,,5.98,5.83,3.82,3.67,26.88,16.89,17.68,45.0,35.0,35.0,0.0,57.14,42.86,266,post
290,,,7.81,7.66,3.63,3.47,26.37,17.33,17.31,45.0,35.0,35.0,0.0,60.61,39.39,264,post
291,,,6.89,6.73,4.14,3.99,26.76,17.27,17.59,45.0,35.0,35.0,0.0,57.04,42.96,270,post
292,,,7.02,6.87,3.81,3.66,26.64,17.56,17.82,45.0,35.0,35.0,0.0,63.02,36.98,265,post
293,,,6.97,6.82,3.82,3.67,27.05,17.04,17.31,45.0,35.0,35.0,0.0,55.81,44.19,267,post
294,,,6.49,6.34,3.99,3.84,26.75,17.71,17.41,45.0,35.0,35.0,0.0,58.33,41.67,264,post
295,,,6.79,6.64,3.89,3.74,27.09,17.13,17.45,45.0,35.0,35.0,0.0,57.09,42.91,268,post
296,,,6.76,6.61,3.82,3.67,26.81,17.58,17.61,45.0,35.0,35.0,0.0,60.22,39.78,269,post
297,,,8.14,7.99,3.77,3.62,26.99,17.5,17.43,45.0,35.0,35.0,0.0,58.05,41.95,267,post
298,,,8.22,8.07,3.87,3.71,26.76,17.25,17.75,45.0,35.0,35.0,0.0,59.77,40.23,266,post
299,,,6.91,6.75,4.17,4.02,26.26,17.93,18.11,45.0,35.0,35.0,0.0,65.91,34.09,264,post
300,,,6.61,6.45,3.74,3.59,26.66,17.61,17.6,45.0,35.0,35.0,0.0,60.37,39.63,270,post
301,,,7.35,7.2,3.71,3.55,26.85,17.25,17.7,45.0,35.0,35.0,0.0,59.62,40.38,265,post
302,,,8.34,8.19,3.82,3.67,27.23,17.23,17.15,45.0,35.0,35.0,0.0,57.3,42.7,267,post
303,,,7.34,7.19,3.81,3.66,26.72,17.23,17.35,45.0,35.0,35.0,0.0,58.27,41.73,266,post
304,,,6.16,6.0,3.88,3.73,26.84,17.13,17.68,45.0,35.0,35.0,0.0,56.39,43.61,266,post
305,,,7.07,6.92,3.91,3.75,26.89,16.97,17.41,45.0,35.0,35.0,0.0,56.34,43.66,268,post
306,,,8.05,7.9,4.03,3.88,27.17,17.45,17.36,45.0,35.0,35.0,0.0,56.55,43.45,267,post
307,,,7.78,7.63,3.88,3.73,27.47,17.13,17.33,45.0,35.0,35.0,0.0,55.43,44.57,267,post
308,,,6.62,6.47,3.78,3.62,27.22,17.14,17.09,45.0,35.0,35.0,0.0,53.99,46.01,263,post
309,,,6.87,6.71,3.7,3.55,26.65,17.26,17.39,45.0,35.0,35.0,0.0,57.2,42.8,271,post
310,,,6.65,6.5,3.87,3.71,26.69,17.59,17.5,45.0,35.0,35.0,0.0,59.62,40.38,265,post
311,,,6.74,6.59,3.94,3.78,27.42,17.11,17.31,45.0,35.0,35.0,0.0,53.76,46.24,266,post
312,,,6.82,6.66,4.01,3.86,26.38,17.58,17.39,45.0,35.0,35.0,0.0,60.67,39.33,267,post
313,,,6.39,6.23,3.89,3.74,26.7,17.05,17.59,45.0,35.0,35.0,0.0,58.49,41.51,265,post
314,,,8.14,7.98,3.65,3.5,26.87,17.5,17.64,45.0,35.0,35.0,0.0,58.89,41.11,270,post
315,,,6.55,6.39,4.0,3.85,27.09,17.11,17.38,45.0,35.0,35.0,0.0,56.39,43.61,266,post
316,,,8.6,8.45,3.68,3.52,27.25,17.26,17.57,45.0,35.0,35.0,0.0,57.14,42.86,266,post
317,,,7.54,7.39,3.9,3.75,27.25,17.21,17.42,45.0,35.0,35.0,0.0,56.6,43.4,265,post
318,,,7.06,6.91,4.05,3.9,27.3,17.29,17.39,45.0,35.0,35.0,0.0,55.06,44.94,267,post
319,,,7.42,7.27,3.82,3.67,27.16,17.05,17.35,45.0,35.0,35.0,0.0,56.13,43.87,269,post
320,,,6.9,6.75,3.95,3.8,27.14,16.99,17.25,45.0,35.0,35.0,0.0,55.06,44.94,267,post
321,,,7.25,7.1,4.04,3.89,27.44,17.07,17.25,45.0,35.0,35.0,0.0,55.85,44.15,265,post
322,,,7.54,7.39,3.96,3.81,28.0,17.46,17.27,45.0,35.0,35.0,0.0,54.72,45.28,265,post
323,,,6.86,6.7,4.09,3.94,26.68,17.29,17.58,45.0,35.0,35.0,0.0,60.0,40.0,270,post
324,,,7.04,6.89,3.78,3.63,27.18,17.89,17.61,45.0,35.0,35.0,0.0,57.68,42.32,267,post
325,,,6.85,6.7,3.72,3.56,27.08,17.52,17.31,45.0,35.0,35.0,0.0,57.74,42.26,265,post
326,,,7.33,7.17,3.97,3.82,26.9,17.11,17.73,45.0,35.0,35.0,0.0,58.94,41.06,263,post
327,,,6.75,6.6,3.89,3.73,27.59,17.22,17.5,45.0,35.0,35.0,0.0,54.61,45.39,271,post
328,,,7.37,7.21,3.69,3.53,27.17,17.11,17.24,45.0,35.0,35.0,0.0,56.93,43.07,267,post
329,,,6.39,6.24,3.76,3.61,28.22,16.98,17.2,45.0,35.0,35.0,0.0,52.43,47.57,267,post
330,,,7.91,7.75,4.14,3.98,27.08,17.32,17.66,45.0,35.0,35.0,0.0,58.33,41.67,264,post
331,,,7.65,7.5,4.02,3.86,27.08,17.6,17.52,45.0,35.0,35.0,0.0,59.18,40.82,267,post
332,,,7.35,7.19,4.24,4.09,26.82,17.42,17.73,45.0,35.0,35.0,0.0,59.63,40.37,270,post
333,,,6.96,6.8,4.08,3.93,27.1,17.11,17.42,45.0,35.0,35.0,0.0,54.51,45.49,266,post
334,,,6.42,6.27,3.85,3.7,26.61,17.26,17.72,45.0,35.0,35.0,0.0,59.4,40.6,266,post
335,,,6.4,6.24,3.92,3.77,26.66,17.55,17.4,45.0,35.0,35.0,0.0,61.22,38.78,263,post
336,,,8.29,8.14,3.74,3.59,26.66,18.66,18.01,45.0,35.0,35.0,0.0,61.71,38.29,269,post
337,,,7.17,7.01,3.93,3.78,26.77,17.49,18.44,45.0,35.0,35.0,0.0,61.8,38.2,267,post
338,,,6.12,5.97,4.19,4.04,26.58,17.24,17.36,45.0,35.0,35.0,0.0,59.4,40.6,266,post
339,,,8.47,8.32,3.83,3.68,27.1,17.07,17.32,45.0,35.0,35.0,0.0,56.77,43.23,266,post
340,,,7.94,7.79,3.81,3.65,27.21,17.24,17.41,45.0,35.0,35.0,0.0,56.02,43.98,266,post
341,,,7.97,7.81,3.89,3.74,27.1,17.03,17.68,45.0,35.0,35.0,0.0,58.58,41.42,268,post
342,,,6.19,6.03,3.89,3.73,27.82,17.14,17.14,45.0,35.0,35.0,0.0,52.24,47.76,268,post
343,,,7.19,7.03,4.15,4.0,26.8,17.21,18.78,45.0,35.0,35.0,0.0,60.67,39.33,267,post
344,,,6.91,6.75,3.8,3.65,27.43,17.02,17.44,45.0,35.0,35.0,0.0,55.85,44.15,265,post
345,,,6.89,6.73,3.95,3.8,27.07,16.92,18.06,45.0,35.0,35.0,0.0,57.25,42.75,269,post
346,,,7.01,6.86,4.14,3.98,27.25,17.23,17.79,45.0,35.0,35.0,0.0,59.02,40.98,266,post
347,,,6.95,6.8,3.8,3.65,27.75,17.16,17.34,45.0,35.0,35.0,0.0,54.72,45.28,265,post
348,,,7.1,6.95,3.91,3.76,26.45,17.38,18.02,45.0,35.0,35.0,0.0,63.91,36.09,266,post
349,,,7.33,7.18,3.85,3.7,26.36,17.48,17.58,45.0,35.0,35.0,0.0,63.16,36.84,266,post
350,,,6.57,6.41,4.09,3.94,27.1,17.39,17.06,45.0,35.0,35.0,0.0,54.07,45.93,270,post
351,,,7.71,7.56,3.74,3.59,27.06,17.21,17.43,45.0,35.0,35.0,0.0,58.49,41.51,265,post
352,,,6.47,6.32,3.85,3.7,26.72,17.09,17.57,45.0,35.0,35.0,0.0,57.84,42.16,268,post
353,,,7.29,7.14,3.85,3.69,27.02,17.31,17.33,45.0,35.0,35.0,0.0,58.49,41.51,265,post
354,,,6.96,6.81,3.83,3.68,27.67,17.27,17.1,45.0,35.0,35.0,0.0,55.39,44.61,269,post
355,,,6.61,6.45,3.96,3.8,27.38,16.87,17.32,45.0,35.0,35.0,0.0,54.89,45.11,266,post
356,,,6.2,6.04,4.05,3.89,26.61,17.43,17.87,45.0,35.0,35.0,0.0,59.4,40.6,266,post
357,,,7.98,7.82,4.06,3.91,26.74,17.08,17.31,45.0,35.0,35.0,0.0,56.39,43.61,266,post
358,,,6.68,6.53,3.89,3.74,26.58,17.21,17.79,45.0,35.0,35.0,0.0,60.38,39.62,265,post
359,,,7.22,7.07,4.01,3.86,27.1,17.51,17.55,45.0,35.0,35.0,0.0,58.74,41.26,269,post
