ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786117461.260,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,2.89,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.077,0
1786117461.260,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.56,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.077,0
1786117461.260,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.51,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.077,0
1786117461.260,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.48,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.077,0
1786117461.260,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.67,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.077,0
1786117461.260,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.57,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.077,0
1786117462.261,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.104,0
1786117462.261,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.104,0
1786117462.261,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.104,0
1786117462.261,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.104,0
1786117462.261,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.104,0
1786117462.261,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.104,0
1786117463.260,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0
1786117463.260,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0
1786117463.260,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0
1786117463.260,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.097,0
1786117463.260,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.097,0
1786117463.260,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.097,0
1786117464.261,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.096,0
1786117464.261,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.096,0
1786117464.261,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.096,0
1786117464.261,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.096,0
1786117464.261,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.096,0
1786117464.261,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.096,0
1786117465.262,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,46,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.866,0
1786117465.262,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,71,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.866,0
1786117465.262,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,95,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.866,0
1786117465.262,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,46,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.866,0
1786117465.262,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,71,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.866,0
1786117465.262,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,95,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.866,0
1786117466.265,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,230,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,4.96,0
1786117466.265,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,348,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,4.96,0
1786117466.265,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,462,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,4.96,0
1786117466.265,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,230,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,4.96,0
1786117466.265,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,348,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,4.96,0
1786117466.265,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,462,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,4.96,0
1786117467.266,c1,reserve,,0.0,26.34,13.67,3.44,S3,0,,0,36.0,obs,351,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.44,S3,4.845,0
1786117467.266,c1,search,,0.0,31.1,20.71,10.13,S3,0,,0,4474.0,obs,529,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.13,S3,4.845,0
1786117467.266,c1,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,702,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.845,0
1786117467.266,c2,reserve,,0.0,26.34,13.67,3.44,S3,0,,0,36.0,obs,351,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.44,S3,4.845,0
1786117467.266,c2,search,,0.0,31.1,20.71,10.13,S3,0,,0,4474.0,obs,529,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.13,S3,4.845,0
1786117467.266,c2,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,702,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.845,0
1786117468.266,c1,reserve,,0.0,26.34,13.67,3.84,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.84,S3,4.924,0
1786117468.266,c1,search,,0.0,31.1,20.71,10.42,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.42,S3,4.924,0
1786117468.266,c1,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,690,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.924,0
1786117468.266,c2,reserve,,0.0,26.34,13.67,3.84,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.84,S3,4.924,0
1786117468.266,c2,search,,0.0,31.1,20.71,10.42,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.42,S3,4.924,0
1786117468.266,c2,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,690,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.924,0
1786117469.265,c1,reserve,,0.0,26.34,13.67,3.89,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.89,S3,4.782,0
1786117469.265,c1,search,,0.0,31.1,20.71,10.32,S3,0,,0,4474.0,obs,518,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.32,S3,4.782,0
1786117469.265,c1,recommend,,0.0,26.76,14.03,3.54,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.54,S3,4.782,0
1786117469.265,c2,reserve,,0.0,26.34,13.67,3.89,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.89,S3,4.782,0
1786117469.265,c2,search,,0.0,31.1,20.71,10.32,S3,0,,0,4474.0,obs,518,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.32,S3,4.782,0
1786117469.265,c2,recommend,,0.0,26.76,14.03,3.54,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.54,S3,4.782,0
1786117470.265,c1,reserve,,0.0,26.34,13.67,3.8,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.8,S3,4.703,0
1786117470.265,c1,search,,0.0,31.1,20.71,10.32,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.32,S3,4.703,0
1786117470.265,c1,recommend,,0.0,26.76,14.03,3.53,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.53,S3,4.703,0
1786117470.265,c2,reserve,,0.0,26.34,13.67,3.8,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.8,S3,4.703,0
1786117470.265,c2,search,,0.0,31.1,20.71,10.32,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.32,S3,4.703,0
1786117470.265,c2,recommend,,0.0,26.76,14.03,3.53,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.53,S3,4.703,0
1786117471.266,c1,reserve,,0.0,26.34,13.67,3.79,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.79,S3,5.276,0
1786117471.266,c1,search,,0.0,31.1,20.71,10.46,S3,0,,0,4474.0,obs,524,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.46,S3,5.276,0
1786117471.266,c1,recommend,,0.0,26.76,14.03,3.41,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.41,S3,5.276,0
1786117471.266,c2,reserve,,0.0,26.34,13.67,3.79,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.79,S3,5.276,0
1786117471.266,c2,search,,0.0,31.1,20.71,10.46,S3,0,,0,4474.0,obs,524,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.46,S3,5.276,0
1786117471.266,c2,recommend,,0.0,26.76,14.03,3.41,S3,0,,0,200.0,obs,696,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.41,S3,5.276,0
1786117472.266,c1,reserve,,0.0,26.34,13.67,3.36,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.36,S3,4.643,0
1786117472.266,c1,search,,0.0,31.1,20.71,10.35,S3,0,,0,4474.0,obs,522,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.35,S3,4.643,0
1786117472.266,c1,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.643,0
1786117472.266,c2,reserve,,0.0,26.34,13.67,3.36,S3,0,,0,36.0,obs,350,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.36,S3,4.643,0
1786117472.266,c2,search,,0.0,31.1,20.71,10.35,S3,0,,0,4474.0,obs,522,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.35,S3,4.643,0
1786117472.266,c2,recommend,,0.0,26.76,14.03,3.27,S3,0,,0,200.0,obs,692,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.27,S3,4.643,0
1786117473.265,c1,reserve,,0.0,26.34,13.67,3.51,S3,0,,0,36.0,obs,352,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.51,S3,4.673,0
1786117473.265,c1,search,,0.0,31.1,20.71,9.93,S3,0,,0,4474.0,obs,520,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,9.93,S3,4.673,0
1786117473.265,c1,recommend,,0.0,26.76,14.03,3.33,S3,0,,0,200.0,obs,694,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.33,S3,4.673,0
1786117473.265,c2,reserve,,0.0,26.34,13.67,3.51,S3,0,,0,36.0,obs,352,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.51,S3,4.673,0
