ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites
1786350444.603,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350444.603,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350445.603,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.101,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,
1786350446.605,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,41,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,10.5,0.0,1.7,1.2,1,1,1,,
1786350446.605,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,68,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,17.0,0.0,11.6,8.4,1,1,1,,
1786350446.605,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,89,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,22.5,0.0,13.9,10.0,1,1,1,,
1786350446.605,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,41,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,10.0,0.0,15.5,11.2,1,1,1,,
1786350446.605,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,68,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,17.0,0.0,25.3,18.4,1,1,1,,
1786350446.605,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,89,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,2.286,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,22.0,0.0,27.6,20.0,1,1,1,,
1786350447.611,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,221,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,55.5,0.0,8.9,6.5,1,1,1,,
1786350447.611,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,336,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,84.0,0.0,57.7,41.8,1,1,1,,
1786350447.611,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,445,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,111.5,0.0,69.2,50.1,1,1,1,,
1786350447.611,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,221,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,55.0,0.0,78.0,56.5,1,1,1,,
1786350447.611,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,336,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,84.0,0.0,126.8,91.8,1,1,1,,
1786350447.611,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,445,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,8.061,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,111.0,0.0,138.2,100.1,1,1,1,,
1786350448.611,c1,reserve,,0.0,26.34,12.74,3.92,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.74,3.92,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,83.5,0.0,13.5,9.7,1,1,1,,
1786350448.611,c1,search,,0.0,31.1,17.48,11.05,,0,,0,4474.0,obs,508,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.48,11.05,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,126.5,0.0,86.8,62.9,1,1,1,,
1786350448.611,c1,recommend,,0.0,26.76,12.77,4.1,,0,,0,200.0,obs,670,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.77,4.1,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,167.5,0.0,104.1,75.4,1,1,1,,
1786350448.611,c2,reserve,,0.0,26.34,12.74,3.92,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.74,3.92,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,83.5,0.0,117.6,85.2,1,1,1,,
1786350448.611,c2,search,,0.0,31.1,17.48,11.05,,0,,0,4474.0,obs,508,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.48,11.05,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,127.0,0.0,191.2,138.5,1,1,1,,
1786350448.611,c2,recommend,,0.0,26.76,12.77,4.1,,0,,0,200.0,obs,670,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.77,4.1,,7.595,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,167.5,0.0,208.5,151.0,1,1,1,,
1786350449.611,c1,reserve,,0.0,26.34,12.52,4.02,,0,,0,36.0,obs,341,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.52,4.02,,8.19,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,85.0,0.0,13.7,9.9,1,1,1,,
1786350449.611,c1,search,,0.0,31.1,17.43,11.2,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.43,11.2,,8.19,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,125.5,0.0,86.5,62.6,1,1,1,,
1786350449.611,c1,recommend,,0.0,26.76,12.87,4.17,,0,,0,200.0,obs,668,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.87,4.17,,8.19,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,167.0,0.0,103.7,75.1,1,1,1,,
