ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites,soft_applied,carry_s1,carry_s2,carry_s3,soft_overflow_eq,soft_objective_eq,soft_weights
1786365594.048,c1,reserve,,0.0,26.34,13.67,3.65,,1,3.05,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365594.048,c1,search,,0.0,31.1,20.71,10.98,,1,0.65,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365594.048,c1,recommend,,0.0,26.76,14.03,4.0,,1,0.67,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365594.048,c2,reserve,,0.0,26.34,13.67,3.65,,1,0.64,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365594.048,c2,search,,0.0,31.1,20.71,10.98,,1,0.68,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365594.048,c2,recommend,,0.0,26.76,14.03,4.0,,1,0.64,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.057,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365595.049,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.108,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365596.048,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.1,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365597.049,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,78,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,19.5,0.0,3.1,2.3,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,118,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,30.0,0.0,20.5,14.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,153,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,38.5,0.0,24.5,17.8,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,78,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,19.5,0.0,27.7,20.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,118,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,29.0,0.0,44.5,32.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786365598.052,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,153,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,3.648,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3,38.0,0.0,48.4,35.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
