ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786297336.174,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297336.174,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297336.174,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297336.174,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.099,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,41,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,65,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,83,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,41,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,65,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297337.175,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,83,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,1.522,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,221,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,336,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,445,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,221,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,336,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297338.179,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,445,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,5.614,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c1,reserve,,0.0,26.34,11.99,3.56,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.99,3.56,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c1,search,,0.0,31.1,17.46,10.91,,0,,0,4474.0,obs,504,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.46,10.91,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c1,recommend,,0.0,26.76,12.76,3.97,,0,,0,200.0,obs,672,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.76,3.97,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c2,reserve,,0.0,26.34,11.99,3.56,,0,,0,36.0,obs,334,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.99,3.56,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c2,search,,0.0,31.1,17.46,10.91,,0,,0,4474.0,obs,504,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.46,10.91,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297339.179,c2,recommend,,0.0,26.76,12.76,3.97,,0,,0,200.0,obs,672,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.76,3.97,,5.386,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c1,reserve,,0.0,26.34,11.99,3.76,,0,,0,36.0,obs,340,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.99,3.76,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c1,search,,0.0,31.1,17.32,10.89,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.32,10.89,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c1,recommend,,0.0,26.76,12.85,4.0,,0,,0,200.0,obs,668,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.85,4.0,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c2,reserve,,0.0,26.34,11.99,3.76,,0,,0,36.0,obs,340,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,11.99,3.76,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c2,search,,0.0,31.1,17.32,10.89,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.32,10.89,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297340.179,c2,recommend,,0.0,26.76,12.85,4.0,,0,,0,200.0,obs,668,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.85,4.0,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c1,reserve,,0.0,26.34,12.29,3.8,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.29,3.8,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c1,search,,0.0,31.1,17.71,11.09,,0,,0,4474.0,obs,500,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.71,11.09,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c1,recommend,,0.0,26.76,13.08,4.06,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.08,4.06,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c2,reserve,,0.0,26.34,12.29,3.8,,0,,0,36.0,obs,338,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.29,3.8,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c2,search,,0.0,31.1,17.71,11.09,,0,,0,4474.0,obs,500,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.71,11.09,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297341.178,c2,recommend,,0.0,26.76,13.08,4.06,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,13.08,4.06,,5.269,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297342.178,c1,reserve,,0.0,26.34,12.32,3.82,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.32,3.82,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297342.178,c1,search,,0.0,31.1,17.93,11.27,,0,,0,4474.0,obs,503,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,17.93,11.27,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297342.178,c1,recommend,,0.0,26.76,12.79,4.03,,0,,0,200.0,obs,674,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.79,4.03,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786297342.178,c2,reserve,,0.0,26.34,12.32,3.82,,0,,0,36.0,obs,336,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.32,3.82,,5.359,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
