ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant
1785901014.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901014.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901014.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901015.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901015.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901015.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901015.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901015.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901015.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901016.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901016.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901016.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901016.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901016.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901016.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901017.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901017.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901017.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901017.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901017.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901017.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901018.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901018.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901018.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901018.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901018.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901018.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901019.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901019.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901019.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901019.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901019.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901019.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901020.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901020.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901020.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901020.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901020.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901020.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901021.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901021.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901021.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901021.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901021.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901021.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901022.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901022.000,c1,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901022.000,c1,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901022.000,c2,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
1785901022.000,c2,search,,0.0,31.1,20.71,10.98,S1,0,,0
1785901022.000,c2,recommend,,0.0,26.76,14.03,4.0,S1,0,,0
1785901023.000,c1,reserve,,0.0,26.34,13.67,3.65,S1,0,,0
