ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786308360.027,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,56,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.588,0,S3,site_s3,S3,S3,S3
1786308360.027,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,101,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.588,0,S3,site_s3,S3,S3,S3
1786308360.027,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,26,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,1.588,0,S3,site_s3,S3,S3,S3
1786308360.027,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,56,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,1.588,0,S3,site_s3,S3,S3,S3
1786308360.027,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,101,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.588,0,S3,site_s3,S3,S3,S3
1786308361.034,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,339,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308361.034,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,492,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308361.034,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,665,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308361.034,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,339,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308361.034,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,492,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308361.034,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,665,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,8.147,0,S3,site_s3,S3,S3,S3
1786308362.036,c1,reserve,,0.0,26.34,13.67,-9.73,S2,1,0.8,0,36.0,obs,646,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-9.73,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308362.036,c1,search,,0.0,31.1,20.71,-8.21,S2,1,0.54,0,4474.0,obs,955,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-8.21,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308362.036,c1,recommend,,0.0,26.76,14.03,-1.95,S2,1,0.51,0,200.0,obs,1254,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-1.95,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308362.036,c2,reserve,,0.0,26.34,13.67,-9.73,S2,1,0.5,0,36.0,obs,646,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-9.73,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308362.036,c2,search,,0.0,31.1,20.71,-8.21,S2,1,0.64,0,4474.0,obs,955,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-8.21,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308362.036,c2,recommend,,0.0,26.76,14.03,-1.95,S2,1,0.5,0,200.0,obs,1254,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-1.95,S2,9.971,0,S2,site_s2,S3,S3,S2
1786308363.034,c1,reserve,,0.0,26.34,13.67,3.65,S3,1,0.78,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308363.034,c1,search,,0.0,31.1,20.71,10.98,S3,1,0.53,0,4474.0,obs,868,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308363.034,c1,recommend,,0.0,26.76,14.03,4.0,S3,1,0.5,0,200.0,obs,1156,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308363.034,c2,reserve,,0.0,26.34,13.67,3.65,S3,1,0.5,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308363.034,c2,search,,0.0,31.1,20.71,10.98,S3,1,0.51,0,4474.0,obs,868,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308363.034,c2,recommend,,0.0,26.76,14.03,4.0,S3,1,0.49,0,200.0,obs,1156,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,8.338,0,S3,site_s3,S3,S3,S3
1786308364.036,c1,reserve,,0.0,26.34,13.67,-4.02,S2,1,0.76,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-4.02,S2,10.328,0,S2,site_s2,S3,S3,S2
1786308364.036,c1,search,,0.0,31.1,20.71,-9.26,S2,1,0.53,0,4474.0,obs,878,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,-9.26,S2,10.328,0,S2,site_s2,S3,S3,S2
1786308364.036,c1,recommend,,0.0,26.76,14.03,-1.4,S2,1,0.58,0,200.0,obs,1176,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,-1.4,S2,10.328,0,S2,site_s2,S3,S3,S2
1786308364.036,c2,reserve,,0.0,26.34,13.67,-4.02,S2,1,0.53,0,36.0,obs,592,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,-4.02,S2,10.328,0,S2,site_s2,S3,S3,S2
