run_id,target_rps,mix,site,class,n,join_rate,achieved_rps_total,fc_p50,fc_p95,fc_p99,svc_p95,cor_p95,viol_rate
t1_s1mix_r100,100,mixed,S1,recommend,8002,1.0,100.0,-0.859,-0.706,1.54,1.795,2.162,0.000125
t1_s1mix_r100,100,mixed,S1,reserve,4000,1.0,100.0,-0.415,-0.22,9.802,2.298,2.667,0.0005
t1_s1mix_r100,100,mixed,S1,search,5998,1.0,100.0,2.609,4.052,14.076,6.435,6.81,0.000333
t1_s1mix_r150,150,mixed,S1,recommend,12000,1.0,150.0,-0.408,-0.071,1.815,2.377,2.622,0.0
t1_s1mix_r150,150,mixed,S1,reserve,6000,1.0,150.0,0.415,1.542,2.883,4.019,4.275,0.0015
t1_s1mix_r150,150,mixed,S1,search,9000,1.0,150.0,5.879,8.208,9.733,10.583,10.839,0.001
t1_s1mix_r200,200,mixed,S1,recommend,16000,1.0,200.0,-0.863,0.328,5.78,2.748,2.926,0.000125
t1_s1mix_r200,200,mixed,S1,reserve,8000,1.0,200.0,-0.222,0.712,4.895,3.132,3.309,0.00075
t1_s1mix_r200,200,mixed,S1,search,12000,1.0,200.0,5.438,8.26,17.528,10.604,10.796,0.000917
t1_s1mix_r250,250,mixed,S1,recommend,20000,1.0,250.0,-0.318,2.05,10.109,4.503,4.666,0.0003
t1_s1mix_r250,250,mixed,S1,reserve,9998,1.0,250.0,0.394,1.325,11.702,3.728,3.898,0.0021
t1_s1mix_r250,250,mixed,S1,search,15002,1.0,250.0,5.949,9.819,19.075,12.153,12.318,0.003066
t1_s1mix_r300,300,mixed,S1,recommend,24004,1.0,300.0,-0.533,2.451,8.915,4.88,5.012,0.001083
t1_s1mix_r300,300,mixed,S1,reserve,11996,1.0,300.0,-0.431,0.145,5.189,2.548,2.684,0.002001
t1_s1mix_r300,300,mixed,S1,search,18000,1.0,300.0,4.539,9.21,23.557,11.542,11.667,0.004611
t1_s1mix_r400,400,mixed,S1,recommend,32000,1.0,400.0,1.231,4.758,13.849,7.185,7.295,0.002375
t1_s1mix_r400,400,mixed,S1,reserve,16000,1.0,400.0,0.512,3.394,15.081,5.794,5.906,0.004188
t1_s1mix_r400,400,mixed,S1,search,24000,1.0,400.0,7.384,14.025,36.778,16.39,16.519,0.0085
t1_s1srch_r080,80,search_only,S1,search,14400,1.0,80.0,3.513,6.724,15.441,9.128,9.567,0.000764
t1_s1srch_r120,120,search_only,S1,search,21600,1.0,120.0,4.475,7.579,19.257,9.942,10.239,0.001204
t1_s1srch_r160,160,search_only,S1,search,28800,1.0,160.0,5.614,8.58,18.765,10.916,11.139,0.002882
t1_s1srch_r200,200,search_only,S1,search,36000,1.0,200.0,3.993,11.178,28.531,13.535,13.727,0.004667
t1_s1srch_r240,240,search_only,S1,search,43202,1.0,240.0,8.241,25.024,51.433,27.389,27.517,0.015254
t1b_s1mix_r500,500,mixed,S1,recommend,40004,1.0,500.0,5.359,18.182,30.004,20.602,21.225,0.015423
t1b_s1mix_r500,500,mixed,S1,reserve,19997,1.0,500.0,6.99,22.994,38.853,25.386,25.549,0.018153
t1b_s1mix_r500,500,mixed,S1,search,30004,1.0,500.0,19.281,43.869,76.463,46.227,46.469,0.056226
t1b_s1mix_r600,600,mixed,S1,recommend,48029,1.0,600.0,27.251,47.814,59.083,50.248,204.468,0.897291
t1b_s1mix_r600,600,mixed,S1,reserve,24007,1.0,600.0,35.263,66.831,85.204,69.283,186.363,0.82755
t1b_s1mix_r600,600,mixed,S1,search,36026,1.0,600.0,77.295,125.056,152.149,127.419,228.114,0.989174
t1b_s1srch_r260,260,search_only,S1,search,46803,1.0,260.0,20.194,49.052,80.918,51.407,51.583,0.076106
t1b_s1srch_r280,280,search_only,S1,search,50436,1.0,280.1,68.006,117.703,147.23,120.048,124.966,0.908914
t1b_s1srch_r300,300,search_only,S1,search,54209,1.0,292.7,102.088,173.947,212.985,176.241,5792.512,1.0
