t_rel_s,cohort,class,slack_S1,slack_S2,slack_S3,observed_rate_kbit,d_acc_ms,subset_cluster
-63.67,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-62.67,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-61.67,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-60.67,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-59.67,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-58.66,c1,search,31.1,20.71,10.98,,0.0,sub_s23
-57.66,c1,search,31.1,19.94,11.41,,0.0,sub_s23
-56.66,c1,search,31.1,20.1,11.18,,0.0,sub_s23
-55.66,c1,search,31.1,19.59,11.18,,0.0,sub_s23
-54.66,c1,search,31.1,19.43,11.38,,0.0,sub_s23
-53.66,c1,search,31.1,19.65,11.38,,0.0,sub_s23
-52.67,c1,search,31.1,20.03,11.2,,0.0,sub_s23
-51.66,c1,search,31.1,20.01,11.19,,0.0,sub_s23
-50.66,c1,search,31.1,20.21,11.32,,0.0,sub_s23
-49.66,c1,search,31.1,20.2,11.69,,0.0,sub_s23
-48.66,c1,search,31.1,20.2,11.41,,0.0,sub_s23
-47.66,c1,search,31.1,20.18,11.39,,0.0,sub_s23
-46.66,c1,search,31.1,19.92,11.55,,0.0,sub_s23
-45.66,c1,search,31.1,20.02,11.57,,0.0,sub_s23
-44.66,c1,search,31.1,19.44,11.29,,0.0,sub_s23
-43.66,c1,search,31.1,19.44,11.29,,0.0,sub_s23
-42.66,c1,search,31.1,19.82,11.25,,0.0,sub_s23
-41.66,c1,search,31.1,19.89,11.31,,0.0,sub_s23
-40.66,c1,search,31.1,19.86,11.47,,0.0,sub_s23
-39.66,c1,search,31.1,19.71,11.38,,0.0,sub_s23
-38.66,c1,search,31.1,19.69,11.29,,0.0,sub_s23
-37.66,c1,search,31.1,19.52,11.26,,0.0,sub_s23
-36.66,c1,search,31.1,19.78,11.26,,0.0,sub_s23
-35.66,c1,search,31.1,19.78,11.31,,0.0,sub_s23
