policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,43,reserve,98,0.0,57.14,42.86
SORTS,43,search,152,0.0,55.92,44.08
SORTS,44,recommend,199,0.0,49.25,50.75
SORTS,44,reserve,104,0.0,63.46,36.54
SORTS,44,search,148,0.0,61.49,38.51
SORTS,45,recommend,203,0.0,53.2,46.8
SORTS,45,reserve,96,0.0,58.33,41.67
SORTS,45,search,152,0.0,62.5,37.5
SORTS,46,recommend,195,0.0,53.33,46.67
SORTS,46,reserve,102,0.0,61.76,38.24
SORTS,46,search,151,0.0,60.26,39.74
SORTS,47,recommend,205,0.0,59.51,40.49
SORTS,47,reserve,98,0.0,55.1,44.9
SORTS,47,search,149,0.0,56.38,43.62
SORTS,48,recommend,196,0.0,54.59,45.41
SORTS,48,reserve,102,0.0,66.67,33.33
SORTS,48,search,150,0.0,52.67,47.33
SORTS,49,recommend,204,0.0,52.45,47.55
SORTS,49,reserve,98,0.0,56.12,43.88
SORTS,49,search,149,0.0,59.73,40.27
SORTS,50,recommend,197,0.0,57.36,42.64
SORTS,50,reserve,102,0.0,59.8,40.2
SORTS,50,search,151,0.0,52.98,47.02
SORTS,51,recommend,201,0.0,56.72,43.28
SORTS,51,reserve,100,0.0,56.0,44.0
SORTS,51,search,149,0.0,57.72,42.28
SORTS,52,recommend,201,0.0,55.22,44.78
SORTS,52,reserve,98,0.0,66.33,33.67
SORTS,52,search,152,0.0,58.55,41.45
SORTS,53,recommend,198,0.0,59.09,40.91
SORTS,53,reserve,104,0.0,56.73,43.27
SORTS,53,search,146,0.0,52.74,47.26
SORTS,54,recommend,203,0.0,59.61,40.39
SORTS,54,reserve,96,0.0,53.12,46.88
SORTS,54,search,153,0.0,56.21,43.79
SORTS,55,recommend,195,0.0,57.44,42.56
SORTS,55,reserve,102,0.0,54.9,45.1
SORTS,55,search,151,0.0,59.6,40.4
SORTS,56,recommend,204,0.0,52.45,47.55
SORTS,56,reserve,98,0.0,60.2,39.8
SORTS,56,search,148,0.0,59.46,40.54
SORTS,57,recommend,199,0.0,56.78,43.22
SORTS,57,reserve,102,0.0,56.86,43.14
SORTS,57,search,151,0.0,59.6,40.4
SORTS,58,recommend,201,0.0,54.23,45.77
SORTS,58,reserve,100,0.0,63.0,37.0
SORTS,58,search,149,0.0,58.39,41.61
SORTS,59,recommend,198,0.0,54.04,45.96
SORTS,59,reserve,98,0.0,55.1,44.9
SORTS,59,search,151,0.0,62.91,37.09
SORTS,60,recommend,200,0.0,53.0,47.0
SORTS,60,reserve,104,0.0,63.46,36.54
SORTS,60,search,148,0.0,58.11,41.89
SORTS,61,recommend,202,0.0,54.46,45.54
SORTS,61,reserve,96,0.0,55.21,44.79
SORTS,61,search,152,0.0,59.21,40.79
SORTS,62,recommend,198,0.0,54.55,45.45
SORTS,62,reserve,102,0.0,60.78,39.22
SORTS,62,search,150,0.0,59.33,40.67
SORTS,63,recommend,202,0.0,55.94,44.06
SORTS,63,reserve,98,0.0,61.22,38.78
SORTS,63,search,150,0.0,56.0,44.0
SORTS,64,recommend,198,0.0,54.04,45.96
SORTS,64,reserve,102,0.0,52.94,47.06
SORTS,64,search,151,0.0,66.23,33.77
SORTS,65,recommend,203,0.0,56.65,43.35
SORTS,65,reserve,98,0.0,64.29,35.71
SORTS,65,search,148,0.0,56.76,43.24
SORTS,66,recommend,198,0.0,56.06,43.94
SORTS,66,reserve,102,0.0,58.82,41.18
SORTS,66,search,150,0.0,60.0,40.0
SORTS,67,recommend,202,0.0,56.44,43.56
SORTS,67,reserve,100,0.0,56.0,44.0
SORTS,67,search,149,0.0,55.7,44.3
SORTS,68,recommend,199,0.0,59.3,40.7
SORTS,68,reserve,98,0.0,60.2,39.8
SORTS,68,search,153,0.0,55.56,44.44
SORTS,69,recommend,198,0.0,51.01,48.99
SORTS,69,reserve,104,0.0,61.54,38.46
SORTS,69,search,147,0.0,65.99,34.01
SORTS,70,recommend,201,0.0,53.73,46.27
SORTS,70,reserve,96,0.0,60.42,39.58
SORTS,70,search,152,0.0,59.21,40.79
SORTS,71,recommend,199,0.0,58.29,41.71
SORTS,71,reserve,102,0.0,61.76,38.24
SORTS,71,search,151,0.0,54.3,45.7
