policy,t_rel_s,class,n,S1_pct,S2_pct,S3_pct
SORTS,0,recommend,353,0.0,52.97,47.03
SORTS,0,reserve,179,0.0,61.45,38.55
SORTS,0,search,267,0.0,61.42,38.58
SORTS,1,recommend,354,0.0,57.06,42.94
SORTS,1,reserve,178,0.0,61.24,38.76
SORTS,1,search,267,0.0,58.43,41.57
SORTS,2,recommend,357,0.0,55.46,44.54
SORTS,2,reserve,177,0.0,57.06,42.94
SORTS,2,search,265,0.0,62.64,37.36
SORTS,3,recommend,357,0.0,55.46,44.54
SORTS,3,reserve,175,0.0,62.86,37.14
SORTS,3,search,269,0.0,60.22,39.78
SORTS,4,recommend,355,0.0,51.55,48.45
SORTS,4,reserve,181,0.0,68.51,31.49
SORTS,4,search,266,0.0,61.65,38.35
SORTS,5,recommend,354,0.0,57.63,42.37
SORTS,5,reserve,178,0.0,57.3,42.7
SORTS,5,search,267,0.0,61.42,38.58
SORTS,6,recommend,356,0.0,57.3,42.7
SORTS,6,reserve,179,0.0,56.42,43.58
SORTS,6,search,265,0.0,60.38,39.62
SORTS,7,recommend,358,0.0,58.66,41.34
SORTS,7,reserve,175,0.0,64.0,36.0
SORTS,7,search,266,0.0,52.63,47.37
SORTS,8,recommend,356,0.0,60.39,39.61
SORTS,8,reserve,177,0.0,60.45,39.55
SORTS,8,search,268,0.0,57.09,42.91
SORTS,9,recommend,353,0.0,59.21,40.79
SORTS,9,reserve,179,0.0,53.63,46.37
SORTS,9,search,269,0.0,60.97,39.03
SORTS,10,recommend,355,0.0,59.44,40.56
SORTS,10,reserve,178,0.0,62.36,37.64
SORTS,10,search,265,0.0,56.23,43.77
SORTS,11,recommend,358,0.0,58.1,41.9
SORTS,11,reserve,178,0.0,57.3,42.7
SORTS,11,search,265,0.0,58.49,41.51
SORTS,12,recommend,355,0.0,52.68,47.32
SORTS,12,reserve,175,0.0,59.43,40.57
SORTS,12,search,269,0.0,61.71,38.29
SORTS,13,recommend,355,0.0,57.18,42.82
SORTS,13,reserve,179,0.0,63.69,36.31
SORTS,13,search,267,0.0,58.43,41.57
SORTS,14,recommend,354,0.0,59.6,40.4
SORTS,14,reserve,179,0.0,55.87,44.13
SORTS,14,search,266,0.0,56.77,43.23
SORTS,15,recommend,357,0.0,57.42,42.58
SORTS,15,reserve,180,0.0,61.11,38.89
SORTS,15,search,263,0.0,59.32,40.68
SORTS,16,recommend,357,0.0,61.34,38.66
SORTS,16,reserve,174,0.0,62.07,37.93
SORTS,16,search,270,0.0,52.22,47.78
SORTS,17,recommend,355,0.0,53.24,46.76
SORTS,17,reserve,177,0.0,66.67,33.33
SORTS,17,search,267,0.0,59.93,40.07
SORTS,18,recommend,355,0.0,56.9,43.1
SORTS,18,reserve,180,0.0,56.67,43.33
SORTS,18,search,267,0.0,60.3,39.7
SORTS,19,recommend,353,0.0,56.37,43.63
SORTS,19,reserve,179,0.0,63.13,36.87
SORTS,19,search,267,0.0,59.18,40.82
SORTS,20,recommend,359,0.0,58.22,41.78
SORTS,20,reserve,177,0.0,59.89,40.11
SORTS,20,search,263,0.0,57.41,42.59
SORTS,21,recommend,356,0.0,55.62,44.38
SORTS,21,reserve,175,0.0,54.29,45.71
SORTS,21,search,269,0.0,64.68,35.32
SORTS,22,recommend,354,0.0,60.45,39.55
SORTS,22,reserve,180,0.0,55.0,45.0
SORTS,22,search,267,0.0,59.55,40.45
SORTS,23,recommend,356,0.0,57.02,42.98
SORTS,23,reserve,177,0.0,54.8,45.2
SORTS,23,search,268,0.0,57.84,42.16
SORTS,24,recommend,353,0.0,58.36,41.64
SORTS,24,reserve,181,0.0,59.67,40.33
SORTS,24,search,265,0.0,57.74,42.26
SORTS,25,recommend,361,0.0,57.89,42.11
SORTS,25,reserve,174,0.0,66.67,33.33
SORTS,25,search,264,0.0,52.27,47.73
SORTS,26,recommend,354,0.0,57.06,42.94
SORTS,26,reserve,177,0.0,61.58,38.42
SORTS,26,search,271,0.0,59.41,40.59
SORTS,27,recommend,353,0.0,55.52,44.48
SORTS,27,reserve,180,0.0,65.0,35.0
SORTS,27,search,266,0.0,58.65,41.35
SORTS,28,recommend,354,0.0,60.17,39.83
SORTS,28,reserve,180,0.0,58.33,41.67
SORTS,28,search,266,0.0,58.27,41.73
SORTS,29,recommend,358,0.0,55.59,44.41
SORTS,29,reserve,176,0.0,62.5,37.5
SORTS,29,search,265,0.0,60.0,40.0
SORTS,30,recommend,358,0.0,57.26,42.74
SORTS,30,reserve,176,0.0,60.23,39.77
SORTS,30,search,268,0.0,57.09,42.91
SORTS,31,recommend,353,0.0,54.39,45.61
SORTS,31,reserve,178,0.0,61.8,38.2
SORTS,31,search,267,0.0,60.67,39.33
SORTS,32,recommend,353,0.0,56.94,43.06
SORTS,32,reserve,180,0.0,60.56,39.44
SORTS,32,search,268,0.0,59.33,40.67
SORTS,33,recommend,358,0.0,59.22,40.78
SORTS,33,reserve,178,0.0,57.3,42.7
SORTS,33,search,264,0.0,60.98,39.02
SORTS,34,recommend,358,0.0,54.47,45.53
SORTS,34,reserve,176,0.0,64.2,35.8
SORTS,34,search,266,0.0,61.65,38.35
SORTS,35,recommend,355,0.0,57.75,42.25
SORTS,35,reserve,177,0.0,57.06,42.94
SORTS,35,search,269,0.0,61.71,38.29
SORTS,36,recommend,355,0.0,58.31,41.69
SORTS,36,reserve,179,0.0,58.1,41.9
SORTS,36,search,266,0.0,61.28,38.72
SORTS,37,recommend,351,0.0,56.98,43.02
