policy,mark,label,t_rel_s
SORTS,c1_extreme,c1 band 1600k,120.51
SORTS,c2_extreme,both cohorts 1600k,180.53
SORTS,clear_all,band cleared,240.51
bl_lr,c1_extreme,c1 band 1600k,120.68
bl_lr,c2_extreme,both cohorts 1600k,180.82
bl_lr,clear_all,band cleared,240.73
bl_loc_pri,c1_extreme,c1 band 1600k,120.68
bl_loc_pri,c2_extreme,both cohorts 1600k,180.8
bl_loc_pri,clear_all,band cleared,240.72
