case,condition,access_side_ms,envoy_observed_ms,ratio
A. under load (phase4 R1_rr_radio),"c1 search, 2300k on one cohort, RR fixed, 800 rps, mean delta pre->during",16.857,-0.3662,46.0
B. static sweep (N2 calibration),"search only, 20 Mbps -> 1.6 Mbps, p50 (not a load test)",22.563,0.022,1024.6
