policy,t_rel_s,S1,S2,S3,S1_pct,S2_pct,S3_pct
SORTS,0,0,461,338,0.0,57.7,42.3
SORTS,1,0,467,332,0.0,58.45,41.55
SORTS,2,0,465,334,0.0,58.2,41.8
SORTS,3,0,470,331,0.0,58.68,41.32
SORTS,4,0,471,331,0.0,58.73,41.27
SORTS,5,0,470,329,0.0,58.82,41.18
SORTS,6,0,465,335,0.0,58.12,41.88
SORTS,7,0,462,337,0.0,57.82,42.18
SORTS,8,0,475,326,0.0,59.3,40.7
SORTS,9,0,469,332,0.0,58.55,41.45
SORTS,10,0,471,327,0.0,59.02,40.98
SORTS,11,0,465,336,0.0,58.05,41.95
SORTS,12,0,457,342,0.0,57.2,42.8
SORTS,13,0,473,328,0.0,59.05,40.95
SORTS,14,0,462,337,0.0,57.82,42.18
SORTS,15,0,471,329,0.0,58.88,41.12
SORTS,16,0,468,333,0.0,58.43,41.57
SORTS,17,0,467,332,0.0,58.45,41.55
SORTS,18,0,465,337,0.0,57.98,42.02
SORTS,19,0,470,329,0.0,58.82,41.18
SORTS,20,0,466,333,0.0,58.32,41.68
SORTS,21,0,467,333,0.0,58.38,41.62
SORTS,22,0,472,329,0.0,58.93,41.07
SORTS,23,0,455,346,0.0,56.8,43.2
SORTS,24,0,467,332,0.0,58.45,41.55
SORTS,25,0,463,336,0.0,57.95,42.05
SORTS,26,0,472,330,0.0,58.85,41.15
SORTS,27,0,469,330,0.0,58.7,41.3
SORTS,28,0,473,327,0.0,59.12,40.88
SORTS,29,0,468,331,0.0,58.57,41.43
SORTS,30,0,464,338,0.0,57.86,42.14
SORTS,31,0,464,334,0.0,58.15,41.85
SORTS,32,0,469,332,0.0,58.55,41.45
SORTS,33,0,475,325,0.0,59.38,40.62
SORTS,34,0,472,328,0.0,59.0,41.0
SORTS,35,0,472,329,0.0,58.93,41.07
SORTS,36,0,474,326,0.0,59.25,40.75
SORTS,37,0,467,332,0.0,58.45,41.55
SORTS,38,0,467,331,0.0,58.52,41.48
SORTS,39,0,469,333,0.0,58.48,41.52
SORTS,40,0,457,343,0.0,57.12,42.88
SORTS,41,0,463,336,0.0,57.95,42.05
SORTS,42,0,476,326,0.0,59.35,40.65
SORTS,43,0,474,325,0.0,59.32,40.68
SORTS,44,0,467,333,0.0,58.38,41.62
SORTS,45,0,473,328,0.0,59.05,40.95
SORTS,46,0,466,329,0.0,58.62,41.38
SORTS,47,0,470,333,0.0,58.53,41.47
SORTS,48,0,468,332,0.0,58.5,41.5
SORTS,49,0,465,336,0.0,58.05,41.95
SORTS,50,0,458,343,0.0,57.18,42.82
SORTS,51,0,468,332,0.0,58.5,41.5
SORTS,52,0,469,327,0.0,58.92,41.08
SORTS,53,0,474,331,0.0,58.88,41.12
SORTS,54,0,463,337,0.0,57.88,42.12
SORTS,55,0,469,328,0.0,58.85,41.15
SORTS,56,0,466,333,0.0,58.32,41.68
SORTS,57,0,470,332,0.0,58.6,41.4
SORTS,58,0,467,333,0.0,58.38,41.62
SORTS,59,0,475,325,0.0,59.38,40.62
SORTS,60,0,459,340,0.0,57.45,42.55
SORTS,61,0,471,331,0.0,58.73,41.27
SORTS,62,0,469,329,0.0,58.77,41.23
SORTS,63,0,470,330,0.0,58.75,41.25
SORTS,64,0,462,339,0.0,57.68,42.32
SORTS,65,0,471,329,0.0,58.88,41.12
SORTS,66,0,470,329,0.0,58.82,41.18
SORTS,67,0,465,335,0.0,58.12,41.88
SORTS,68,0,472,327,0.0,59.07,40.93
SORTS,69,0,466,334,0.0,58.25,41.75
SORTS,70,0,470,331,0.0,58.68,41.32
SORTS,71,0,474,326,0.0,59.25,40.75
SORTS,72,0,473,329,0.0,58.98,41.02
SORTS,73,0,471,328,0.0,58.95,41.05
SORTS,74,0,467,332,0.0,58.45,41.55
SORTS,75,0,465,336,0.0,58.05,41.95
SORTS,76,0,472,328,0.0,59.0,41.0
SORTS,77,0,472,328,0.0,59.0,41.0
SORTS,78,0,470,331,0.0,58.68,41.32
SORTS,79,0,459,340,0.0,57.45,42.55
SORTS,80,0,472,328,0.0,59.0,41.0
SORTS,81,0,472,327,0.0,59.07,40.93
SORTS,82,0,469,332,0.0,58.55,41.45
SORTS,83,0,470,329,0.0,58.82,41.18
SORTS,84,0,461,341,0.0,57.48,42.52
