ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786256974.604,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,521,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,5.462,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c1,reserve,6000,0.053,26.29,12.36,3.96,,0,,0,36.0,obs,350,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,12.36,3.96,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c1,search,6000,6.562,24.54,11.57,4.61,,0,,0,4474.0,obs,522,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,11.57,4.61,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c1,recommend,6000,0.293,26.47,12.17,3.79,,0,,0,200.0,obs,699,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,12.17,3.79,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c2,reserve,,0.0,26.34,12.42,4.01,,0,,0,36.0,obs,350,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,12.42,4.01,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c2,search,,0.0,31.1,18.14,11.17,,0,,0,4474.0,obs,522,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,18.14,11.17,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256975.604,c2,recommend,,0.0,26.76,12.47,4.09,,0,,0,200.0,obs,699,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,12.47,4.09,,5.456,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256976.604,c1,reserve,6000,0.053,26.29,12.95,3.93,,0,,0,36.0,obs,346,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,12.95,3.93,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256976.604,c1,search,6000,6.562,24.54,11.37,4.65,,0,,0,4474.0,obs,526,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,11.37,4.65,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
1786256976.604,c1,recommend,6000,0.293,26.47,12.3,3.84,,0,,0,200.0,obs,701,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,12.3,3.84,,5.427,0,S2|S3,sub_s23,S2|S3,S2|S3,S2|S3
