t,S1%,S2%,S3%,n
135,0.0,0.0,100.0,134
136,0.0,0.0,100.0,133
137,0.0,0.0,100.0,134
138,0.0,0.0,100.0,132
139,0.0,0.0,100.0,133
140,0.0,0.0,100.0,135
141,0.0,0.0,100.0,133
142,0.0,0.0,100.0,134
143,0.0,0.0,100.0,132
144,0.0,0.0,100.0,134
145,0.0,0.0,100.0,133
146,0.0,0.0,100.0,134
147,0.0,0.0,100.0,132
148,0.0,0.0,100.0,133
149,0.0,0.0,100.0,135
150,0.0,0.0,100.0,133
151,0.0,0.0,100.0,134
152,0.0,0.0,100.0,132
153,0.0,0.0,100.0,134
154,0.0,0.0,100.0,133
155,0.0,0.0,100.0,134
156,0.0,0.0,100.0,132
157,0.0,0.0,100.0,133
158,0.0,0.0,100.0,135
159,0.0,0.0,100.0,133
160,0.0,66.92,33.08,133
161,0.0,100.0,0.0,132
162,0.0,100.0,0.0,135
163,0.0,100.0,0.0,133
164,0.0,100.0,0.0,134
165,0.0,100.0,0.0,132
166,0.0,100.0,0.0,133
167,0.0,100.0,0.0,134
168,0.0,100.0,0.0,134
169,0.0,100.0,0.0,133
170,0.0,100.0,0.0,132
171,66.67,33.33,0.0,135
172,100.0,0.0,0.0,133
173,100.0,0.0,0.0,134
174,100.0,0.0,0.0,132
175,100.0,0.0,0.0,133
176,100.0,0.0,0.0,134
177,100.0,0.0,0.0,134
178,100.0,0.0,0.0,133
179,100.0,0.0,0.0,132
180,100.0,0.0,0.0,135
181,100.0,0.0,0.0,133
182,100.0,0.0,0.0,134
183,100.0,0.0,0.0,132
184,100.0,0.0,0.0,133
185,100.0,0.0,0.0,134
186,100.0,0.0,0.0,134
187,100.0,0.0,0.0,133
188,100.0,0.0,0.0,132
189,100.0,0.0,0.0,135
190,100.0,0.0,0.0,133
191,100.0,0.0,0.0,134
192,100.0,0.0,0.0,132
193,100.0,0.0,0.0,133
194,100.0,0.0,0.0,134
195,100.0,0.0,0.0,134
196,100.0,0.0,0.0,133
197,100.0,0.0,0.0,132
198,100.0,0.0,0.0,135
199,100.0,0.0,0.0,133
200,100.0,0.0,0.0,134
201,100.0,0.0,0.0,132
202,100.0,0.0,0.0,133
203,100.0,0.0,0.0,134
204,100.0,0.0,0.0,134
205,100.0,0.0,0.0,133
206,100.0,0.0,0.0,132
207,100.0,0.0,0.0,135
208,100.0,0.0,0.0,133
209,100.0,0.0,0.0,134
210,100.0,0.0,0.0,132
211,100.0,0.0,0.0,133
212,100.0,0.0,0.0,134
213,100.0,0.0,0.0,134
214,100.0,0.0,0.0,133
215,100.0,0.0,0.0,132
216,100.0,0.0,0.0,135
217,100.0,0.0,0.0,133
218,100.0,0.0,0.0,134
219,100.0,0.0,0.0,132
220,100.0,0.0,0.0,133
221,100.0,0.0,0.0,134
222,100.0,0.0,0.0,134
223,100.0,0.0,0.0,133
224,100.0,0.0,0.0,132
225,100.0,0.0,0.0,135
226,100.0,0.0,0.0,133
227,100.0,0.0,0.0,134
228,100.0,0.0,0.0,132
229,100.0,0.0,0.0,133
230,100.0,0.0,0.0,134
231,100.0,0.0,0.0,134
232,100.0,0.0,0.0,132
233,100.0,0.0,0.0,133
234,100.0,0.0,0.0,135
235,100.0,0.0,0.0,133
236,100.0,0.0,0.0,134
237,100.0,0.0,0.0,132
238,100.0,0.0,0.0,133
239,100.0,0.0,0.0,134
240,100.0,0.0,0.0,134
241,100.0,0.0,0.0,133
242,100.0,0.0,0.0,132
243,100.0,0.0,0.0,135
244,100.0,0.0,0.0,133
245,100.0,0.0,0.0,134
246,100.0,0.0,0.0,132
247,100.0,0.0,0.0,133
248,100.0,0.0,0.0,134
249,100.0,0.0,0.0,134
250,100.0,0.0,0.0,133
251,100.0,0.0,0.0,132
252,100.0,0.0,0.0,135
253,100.0,0.0,0.0,133
254,100.0,0.0,0.0,134
255,100.0,0.0,0.0,132
256,100.0,0.0,0.0,133
257,100.0,0.0,0.0,134
258,100.0,0.0,0.0,134
259,100.0,0.0,0.0,133
260,100.0,0.0,0.0,132
261,100.0,0.0,0.0,135
262,100.0,0.0,0.0,133
263,100.0,0.0,0.0,134
264,100.0,0.0,0.0,132
265,100.0,0.0,0.0,133
266,100.0,0.0,0.0,134
267,100.0,0.0,0.0,134
268,100.0,0.0,0.0,133
269,100.0,0.0,0.0,132
270,100.0,0.0,0.0,135
271,100.0,0.0,0.0,133
272,100.0,0.0,0.0,134
273,100.0,0.0,0.0,132
274,100.0,0.0,0.0,133
275,100.0,0.0,0.0,134
276,100.0,0.0,0.0,134
277,100.0,0.0,0.0,133
278,100.0,0.0,0.0,132
279,100.0,0.0,0.0,135
280,100.0,0.0,0.0,133
281,100.0,0.0,0.0,134
282,100.0,0.0,0.0,131
283,100.0,0.0,0.0,134
284,100.0,0.0,0.0,134
285,100.0,0.0,0.0,134
286,100.0,0.0,0.0,133
287,100.0,0.0,0.0,132
288,100.0,0.0,0.0,135
289,100.0,0.0,0.0,133
290,100.0,0.0,0.0,134
291,100.0,0.0,0.0,132
292,100.0,0.0,0.0,133
293,100.0,0.0,0.0,134
294,100.0,0.0,0.0,134
295,100.0,0.0,0.0,133
296,100.0,0.0,0.0,132
297,100.0,0.0,0.0,135
298,100.0,0.0,0.0,133
299,100.0,0.0,0.0,134
300,33.33,0.0,66.67,132
301,0.0,0.0,100.0,133
302,0.0,0.0,100.0,134
303,0.0,0.0,100.0,134
304,0.0,0.0,100.0,133
305,0.0,0.0,100.0,132
306,0.0,0.0,100.0,135
307,0.0,0.0,100.0,133
308,0.0,0.0,100.0,134
309,0.0,0.0,100.0,132
310,0.0,0.0,100.0,133
311,0.0,0.0,100.0,134
312,0.0,0.0,100.0,134
313,0.0,0.0,100.0,133
314,0.0,0.0,100.0,132
315,0.0,0.0,100.0,135
316,0.0,0.0,100.0,133
317,0.0,0.0,100.0,134
318,0.0,0.0,100.0,132
319,0.0,0.0,100.0,133
320,0.0,0.0,100.0,134
321,0.0,0.0,100.0,134
322,0.0,0.0,100.0,133
323,0.0,0.0,100.0,132
324,0.0,0.0,100.0,135
325,0.0,0.0,100.0,133
326,0.0,0.0,100.0,134
327,0.0,0.0,100.0,132
328,0.0,0.0,100.0,133
329,0.0,0.0,100.0,134
330,0.0,0.0,100.0,134
331,0.0,0.0,100.0,133
332,0.0,0.0,100.0,132
333,0.0,0.0,100.0,135
334,0.0,0.0,100.0,133
335,0.0,0.0,100.0,134
336,0.0,0.0,100.0,132
337,0.0,0.0,100.0,133
338,0.0,0.0,100.0,134
339,0.0,0.0,100.0,134
340,0.0,0.0,100.0,133
341,0.0,0.0,100.0,132
342,0.0,0.0,100.0,135
343,0.0,0.0,100.0,133
344,0.0,0.0,100.0,134
345,0.0,0.0,100.0,132
346,0.0,0.0,100.0,133
347,0.0,0.0,100.0,134
348,0.0,0.0,100.0,134
349,0.0,0.0,100.0,133
350,0.0,0.0,100.0,132
351,0.0,0.0,100.0,135
352,0.0,0.0,100.0,133
353,0.0,0.0,100.0,134
354,0.0,0.0,100.0,132
355,0.0,0.0,100.0,133
356,0.0,0.0,100.0,134
357,0.0,0.0,100.0,134
358,0.0,0.0,100.0,133
359,0.0,0.0,100.0,118
