t,S1%,S2%,S3%,n
140,0.0,100.0,0.0,134
141,0.0,100.0,0.0,133
142,0.0,100.0,0.0,134
143,0.0,100.0,0.0,132
144,0.0,100.0,0.0,134
145,0.0,100.0,0.0,134
146,0.0,100.0,0.0,133
147,0.0,100.0,0.0,133
148,0.0,100.0,0.0,133
149,0.0,100.0,0.0,134
150,0.0,100.0,0.0,133
151,0.0,100.0,0.0,134
152,0.0,100.0,0.0,132
153,0.0,100.0,0.0,134
154,0.0,100.0,0.0,134
155,0.0,100.0,0.0,133
156,0.0,100.0,0.0,133
157,0.0,100.0,0.0,133
158,0.0,100.0,0.0,134
159,0.0,100.0,0.0,133
160,0.0,100.0,0.0,134
161,0.0,100.0,0.0,132
162,0.0,100.0,0.0,134
163,0.0,100.0,0.0,134
164,0.0,100.0,0.0,133
165,0.0,100.0,0.0,133
166,0.0,100.0,0.0,133
167,0.0,100.0,0.0,134
168,0.0,100.0,0.0,133
169,0.0,100.0,0.0,134
170,0.0,100.0,0.0,132
171,0.0,100.0,0.0,134
172,0.0,100.0,0.0,134
173,0.0,100.0,0.0,133
174,0.0,100.0,0.0,133
175,0.0,100.0,0.0,133
176,0.0,100.0,0.0,134
177,0.0,100.0,0.0,133
178,0.0,100.0,0.0,134
179,0.0,100.0,0.0,132
180,0.0,100.0,0.0,134
181,0.0,100.0,0.0,134
182,0.0,100.0,0.0,133
183,0.0,100.0,0.0,133
184,0.0,100.0,0.0,133
185,0.0,100.0,0.0,134
186,0.0,100.0,0.0,133
187,0.0,100.0,0.0,134
188,0.0,100.0,0.0,132
189,0.0,100.0,0.0,134
190,0.0,100.0,0.0,134
191,0.0,100.0,0.0,133
192,0.0,100.0,0.0,133
193,0.0,100.0,0.0,133
194,0.0,100.0,0.0,134
195,0.0,100.0,0.0,133
196,0.0,100.0,0.0,134
197,0.0,100.0,0.0,132
198,0.0,100.0,0.0,134
199,0.0,100.0,0.0,134
200,0.0,100.0,0.0,133
201,0.0,100.0,0.0,133
202,0.0,100.0,0.0,133
203,0.0,100.0,0.0,134
204,0.0,100.0,0.0,133
205,0.0,100.0,0.0,134
206,0.0,100.0,0.0,132
207,0.0,100.0,0.0,134
208,0.0,100.0,0.0,134
209,0.0,100.0,0.0,133
210,0.0,100.0,0.0,133
211,0.0,100.0,0.0,133
212,0.0,100.0,0.0,135
213,0.0,100.0,0.0,132
214,0.0,100.0,0.0,134
215,0.0,100.0,0.0,132
216,0.0,100.0,0.0,134
217,0.0,100.0,0.0,134
218,0.0,100.0,0.0,133
219,0.0,100.0,0.0,134
220,0.0,100.0,0.0,132
221,0.0,100.0,0.0,135
222,0.0,100.0,0.0,133
223,0.0,100.0,0.0,133
224,0.0,100.0,0.0,132
225,0.0,100.0,0.0,134
226,0.0,100.0,0.0,134
227,0.0,100.0,0.0,133
228,0.0,100.0,0.0,134
229,0.0,100.0,0.0,132
230,0.0,100.0,0.0,135
231,0.0,100.0,0.0,133
232,0.0,100.0,0.0,133
233,0.0,100.0,0.0,132
234,0.0,100.0,0.0,134
235,0.0,100.0,0.0,134
236,0.0,100.0,0.0,133
237,0.0,100.0,0.0,134
238,0.0,100.0,0.0,132
239,0.0,100.0,0.0,135
240,0.0,100.0,0.0,133
241,0.0,32.33,67.67,133
242,0.0,0.0,100.0,132
243,0.0,0.0,100.0,134
244,0.0,0.0,100.0,134
245,0.0,0.0,100.0,133
246,0.0,0.0,100.0,134
247,0.0,0.0,100.0,132
248,0.0,0.0,100.0,135
249,0.0,0.0,100.0,133
250,0.0,0.0,100.0,133
251,0.0,0.0,100.0,132
252,0.0,0.0,100.0,134
253,0.0,0.0,100.0,134
254,0.0,0.0,100.0,133
255,0.0,0.0,100.0,133
256,0.0,0.0,100.0,133
257,0.0,0.0,100.0,134
258,0.0,0.0,100.0,133
259,0.0,0.0,100.0,134
260,0.0,0.0,100.0,132
261,0.0,0.0,100.0,134
262,0.0,0.0,100.0,134
263,0.0,0.0,100.0,133
264,0.0,0.0,100.0,133
265,0.0,0.0,100.0,133
266,0.0,0.0,100.0,134
267,0.0,0.0,100.0,133
268,0.0,0.0,100.0,134
269,0.0,0.0,100.0,132
270,0.0,0.0,100.0,134
271,0.0,0.0,100.0,134
272,0.0,0.0,100.0,133
273,0.0,0.0,100.0,133
274,0.0,0.0,100.0,133
275,0.0,0.0,100.0,134
276,0.0,0.0,100.0,133
277,0.0,0.0,100.0,134
278,0.0,0.0,100.0,132
279,0.0,0.0,100.0,134
280,0.0,0.0,100.0,134
281,0.0,0.0,100.0,133
282,0.0,0.0,100.0,133
283,0.0,0.0,100.0,133
284,0.0,0.0,100.0,134
285,0.0,0.0,100.0,133
286,0.0,0.0,100.0,134
287,0.0,0.0,100.0,132
288,0.0,0.0,100.0,134
289,0.0,0.0,100.0,134
290,0.0,0.0,100.0,133
291,0.0,0.0,100.0,133
292,0.0,0.0,100.0,133
293,0.0,0.0,100.0,134
294,0.0,0.0,100.0,133
295,0.0,0.0,100.0,134
296,0.0,0.0,100.0,132
297,0.0,0.0,100.0,134
298,0.0,0.0,100.0,134
299,0.0,0.0,100.0,133
300,0.0,0.0,100.0,133
301,0.0,0.0,100.0,133
302,0.0,0.0,100.0,134
303,0.0,0.0,100.0,133
304,0.0,0.0,100.0,134
305,0.0,0.0,100.0,132
306,0.0,0.0,100.0,134
307,0.0,0.0,100.0,134
308,0.0,0.0,100.0,133
309,0.0,0.0,100.0,133
310,0.0,0.0,100.0,133
311,0.0,0.0,100.0,134
312,0.0,0.0,100.0,133
313,0.0,0.0,100.0,134
314,0.0,0.0,100.0,132
315,0.0,0.0,100.0,134
316,0.0,0.0,100.0,134
317,0.0,0.0,100.0,133
318,0.0,0.0,100.0,133
319,0.0,0.0,100.0,133
320,0.0,0.0,100.0,134
321,0.0,0.0,100.0,133
322,0.0,0.0,100.0,134
323,0.0,0.0,100.0,132
324,0.0,0.0,100.0,134
325,0.0,0.0,100.0,134
326,0.0,0.0,100.0,133
327,0.0,0.0,100.0,133
328,0.0,0.0,100.0,133
329,0.0,0.0,100.0,134
330,0.0,0.0,100.0,133
331,0.0,0.0,100.0,134
332,0.0,0.0,100.0,132
333,0.0,0.0,100.0,134
334,0.0,0.0,100.0,134
335,0.0,0.0,100.0,133
336,0.0,0.0,100.0,133
337,0.0,0.0,100.0,133
338,0.0,0.0,100.0,134
339,0.0,0.0,100.0,133
340,0.0,0.0,100.0,134
341,0.0,0.0,100.0,132
342,0.0,0.0,100.0,134
343,0.0,0.0,100.0,134
344,0.0,0.0,100.0,133
345,0.0,0.0,100.0,133
346,0.0,0.0,100.0,133
347,0.0,0.0,100.0,134
348,0.0,0.0,100.0,133
349,0.0,0.0,100.0,134
350,0.0,0.0,100.0,132
351,0.0,0.0,100.0,134
352,0.0,0.0,100.0,134
353,0.0,0.0,100.0,133
354,0.0,0.0,100.0,133
355,0.0,0.0,100.0,133
356,0.0,0.0,100.0,134
357,0.0,0.0,100.0,133
358,0.0,0.0,100.0,134
359,0.0,0.0,100.0,117
