ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly,unit_rate_rps,l_eff_s1,l_eff_s2,l_eff_s3,cap_ok_s1,cap_ok_s2,cap_ok_s3,blocked_by,cap_blocked_sites,soft_applied,carry_s1,carry_s2,carry_s3,soft_overflow_eq,soft_objective_eq,soft_weights
1786367158.199,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.1,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior,0,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior,0,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367159.199,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior,0,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,0.102,0,S3,site_s3,S3,S3,S3,0.0,0.0,0.0,0.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,65,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,3.096,0,S3,site_s3,S3,S3,S3,16.0,0.0,0.0,4.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,103,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,3.096,0,S3,site_s3,S3,S3,S3,25.5,0.0,0.0,29.9,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,130,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,3.096,0,S3,site_s3,S3,S3,S3,32.0,0.0,0.0,35.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,65,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,3.096,0,S3,site_s3,S3,S3,S3,16.5,0.0,0.0,40.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,103,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,3.096,0,S3,site_s3,S3,S3,S3,26.0,0.0,0.0,66.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367160.202,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,130,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,3.096,0,S3,site_s3,S3,S3,S3,33.0,0.0,0.0,72.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,248,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,7.842,0,S3,site_s3,S3,S3,S3,62.0,0.0,0.0,17.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,373,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,7.842,0,S3,site_s3,S3,S3,S3,93.0,0.0,0.0,110.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,499,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,7.842,0,S3,site_s3,S3,S3,S3,124.5,0.0,0.0,132.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,248,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,7.842,0,S3,site_s3,S3,S3,S3,62.0,0.0,0.0,149.6,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,373,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,7.842,0,S3,site_s3,S3,S3,S3,93.5,0.0,0.0,243.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367161.207,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,499,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,7.842,0,S3,site_s3,S3,S3,S3,125.0,0.0,0.0,265.4,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367162.207,c1,reserve,,0.0,26.34,13.67,3.63,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.63,S3,7.681,0,S3,site_s3,S3,S3,S3,86.5,0.0,0.0,24.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367162.207,c1,search,,0.0,31.1,20.71,10.46,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.46,S3,7.681,0,S3,site_s3,S3,S3,S3,132.0,0.0,0.0,156.0,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367162.207,c1,recommend,,0.0,26.76,14.03,3.9,S3,0,,0,200.0,obs,697,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.9,S3,7.681,0,S3,site_s3,S3,S3,S3,174.5,0.0,0.0,187.1,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367162.207,c2,reserve,,0.0,26.34,13.67,3.63,S3,0,,0,36.0,obs,346,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.63,S3,7.681,0,S3,site_s3,S3,S3,S3,86.5,0.0,0.0,211.2,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
1786367162.207,c2,search,,0.0,31.1,20.71,10.46,S3,0,,0,4474.0,obs,527,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.46,S3,7.681,0,S3,site_s3,S3,S3,S3,131.5,0.0,0.0,342.7,1,1,1,,,0,0.0,0.0,0.0,0.0,0.0,
