policy,S1_share_pct,edge_inflow_rps,edge_headroom_pct,absorbable_cohorts
SORTS,0.0,0.0,100.0,3.01
Round Robin,33.333,266.7,33.33,1.0
Least Request,48.916,391.3,2.17,0.07
Static-Far (no reaction),0.0,0.0,100.0,3.01
