ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes
1786118532.024,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,84,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,1.446,0
1786118533.027,c1,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,225,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,4.93,0
1786118533.027,c1,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,342,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,4.93,0
1786118533.027,c1,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,454,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,4.93,0
1786118533.027,c2,reserve,,0.0,26.34,13.67,3.65,S3,0,,0,36.0,prior_fill,225,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,4.93,0
1786118533.027,c2,search,,0.0,31.1,20.71,10.98,S3,0,,0,4474.0,prior_fill,342,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,4.93,0
1786118533.027,c2,recommend,,0.0,26.76,14.03,4.0,S3,0,,0,200.0,prior_fill,454,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,4.93,0
1786118534.026,c1,reserve,,0.0,26.34,13.67,3.3,S3,0,,0,36.0,obs,349,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.3,S3,4.687,0
1786118534.026,c1,search,,0.0,31.1,20.71,9.76,S3,0,,0,4474.0,obs,526,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,9.76,S3,4.687,0
1786118534.026,c1,recommend,,0.0,26.76,14.03,3.7,S3,0,,0,200.0,obs,694,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.7,S3,4.687,0
1786118534.026,c2,reserve,,0.0,26.34,13.67,3.3,S3,0,,0,36.0,obs,349,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.3,S3,4.687,0
1786118534.026,c2,search,,0.0,31.1,20.71,9.76,S3,0,,0,4474.0,obs,526,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,9.76,S3,4.687,0
1786118534.026,c2,recommend,,0.0,26.76,14.03,3.7,S3,0,,0,200.0,obs,694,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.7,S3,4.687,0
1786118535.027,c1,reserve,,0.0,26.34,13.67,3.42,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.42,S3,4.79,0
1786118535.027,c1,search,,0.0,31.1,20.71,10.56,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.56,S3,4.79,0
1786118535.027,c1,recommend,,0.0,26.76,14.03,3.77,S3,0,,0,200.0,obs,683,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.77,S3,4.79,0
1786118535.027,c2,reserve,,0.0,26.34,13.67,3.42,S3,0,,0,36.0,obs,348,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.42,S3,4.79,0
1786118535.027,c2,search,,0.0,31.1,20.71,10.56,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.56,S3,4.79,0
1786118535.027,c2,recommend,,0.0,26.76,14.03,3.77,S3,0,,0,200.0,obs,683,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.77,S3,4.79,0
1786118536.027,c1,reserve,,0.0,26.34,13.67,3.59,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.59,S3,4.646,0
1786118536.027,c1,search,,0.0,31.1,20.71,10.56,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.56,S3,4.646,0
1786118536.027,c1,recommend,,0.0,26.76,14.03,3.82,S3,0,,0,200.0,obs,689,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.82,S3,4.646,0
1786118536.027,c2,reserve,,0.0,26.34,13.67,3.59,S3,0,,0,36.0,obs,344,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.59,S3,4.646,0
1786118536.027,c2,search,,0.0,31.1,20.71,10.56,S3,0,,0,4474.0,obs,512,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.56,S3,4.646,0
1786118536.027,c2,recommend,,0.0,26.76,14.03,3.82,S3,0,,0,200.0,obs,689,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.82,S3,4.646,0
1786118537.027,c1,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,4.597,0
1786118537.027,c1,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,515,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.597,0
1786118537.027,c1,recommend,,0.0,26.76,14.03,3.81,S3,0,,0,200.0,obs,690,26.76,14.03,4.0,S3,26.76,14.03,4.0,S3,26.76,14.03,3.81,S3,4.597,0
1786118537.027,c2,reserve,,0.0,26.34,13.67,3.52,S3,0,,0,36.0,obs,340,26.34,13.67,3.65,S3,26.34,13.67,3.65,S3,26.34,13.67,3.52,S3,4.597,0
1786118537.027,c2,search,,0.0,31.1,20.71,10.61,S3,0,,0,4474.0,obs,515,31.1,20.71,10.98,S3,31.1,20.71,10.98,S3,31.1,20.71,10.61,S3,4.597,0
