run_id,policy,disturb,section,cohort,endpoint,n,n_viol,viol_rate,corrected_p50,corrected_p95,corrected_p99
A_server_bl_loc,bl_loc,server,during,2,recommend,16467,16467,1.0,47759.056,60582.735,65554.457
A_server_bl_loc,bl_loc,server,post,1,reserve,8366,8366,1.0,73632.48,86529.624,89113.303
A_server_bl_loc,bl_loc,server,post,1,search,12540,12540,1.0,73705.494,86587.436,89165.166
A_server_bl_loc,bl_loc,server,post,1,recommend,16721,16721,1.0,73672.333,86559.256,89136.713
A_server_bl_loc,bl_loc,server,post,2,reserve,8330,8330,1.0,72387.936,85864.993,90612.799
A_server_bl_loc,bl_loc,server,post,2,search,12497,12497,1.0,72452.792,85944.384,90692.686
A_server_bl_loc,bl_loc,server,post,2,recommend,16664,16664,1.0,72418.838,85911.654,90661.012
B_ramp_site_s3,site_s3,ramp,pre,1,reserve,5159,3,0.000582,26.558,27.376,28.237
B_ramp_site_s3,site_s3,ramp,pre,1,search,7737,5,0.000646,32.037,33.879,35.575
B_ramp_site_s3,site_s3,ramp,pre,1,recommend,10318,7,0.000678,26.453,27.398,28.272
B_ramp_site_s3,site_s3,ramp,pre,2,reserve,5158,2,0.000388,26.251,26.835,27.711
B_ramp_site_s3,site_s3,ramp,pre,2,search,7737,4,0.000517,30.188,31.894,33.574
B_ramp_site_s3,site_s3,ramp,pre,2,recommend,10318,2,0.000194,26.118,27.028,27.835
B_ramp_site_s3,site_s3,ramp,during,1,reserve,20890,1735,0.083054,27.774,79.009,103.404
B_ramp_site_s3,site_s3,ramp,during,1,search,31333,17041,0.543867,54.23,97.655,126.236
B_ramp_site_s3,site_s3,ramp,during,1,recommend,41779,20744,0.496517,34.9,84.868,109.57
B_ramp_site_s3,site_s3,ramp,during,2,reserve,20892,8,0.000383,26.312,27.194,28.406
B_ramp_site_s3,site_s3,ramp,during,2,search,31337,18,0.000574,30.168,32.035,34.107
B_ramp_site_s3,site_s3,ramp,during,2,recommend,41782,15,0.000359,26.151,27.08,27.855
B_ramp_site_s3,site_s3,ramp,post,1,reserve,5092,3,0.000589,26.424,27.3,28.105
B_ramp_site_s3,site_s3,ramp,post,1,search,7637,5,0.000655,30.105,31.942,33.87
B_ramp_site_s3,site_s3,ramp,post,1,recommend,10183,6,0.000589,26.295,27.285,28.202
B_ramp_site_s3,site_s3,ramp,post,2,reserve,5092,4,0.000786,26.251,26.796,27.743
B_ramp_site_s3,site_s3,ramp,post,2,search,7637,6,0.000786,30.206,31.952,33.672
B_ramp_site_s3,site_s3,ramp,post,2,recommend,10183,7,0.000687,26.113,26.985,27.829
B_ramp_bl_rr,bl_rr,ramp,pre,1,reserve,5174,34,0.006571,12.411,26.475,28.978
B_ramp_bl_rr,bl_rr,ramp,pre,1,search,7759,589,0.075912,24.852,51.509,72.93
B_ramp_bl_rr,bl_rr,ramp,pre,1,recommend,10344,240,0.023202,11.601,26.904,45.7
B_ramp_bl_rr,bl_rr,ramp,pre,2,reserve,5175,30,0.005797,14.043,26.367,28.325
B_ramp_bl_rr,bl_rr,ramp,pre,2,search,7759,594,0.076556,22.735,51.389,75.235
B_ramp_bl_rr,bl_rr,ramp,pre,2,recommend,10347,270,0.026095,11.515,26.288,47.049
B_ramp_bl_rr,bl_rr,ramp,during,1,reserve,20877,1870,0.089572,16.284,43.42,64.318
B_ramp_bl_rr,bl_rr,ramp,during,1,search,31313,11775,0.376042,40.729,71.546,91.467
B_ramp_bl_rr,bl_rr,ramp,during,1,recommend,41755,8161,0.19545,22.855,56.54,84.001
