ts,cohort,class,observed_rate_kbit,d_acc_ms,slack_s1,slack_s2,slack_s3,chosen_site,changed,apply_latency_ms,expectant,resp_bytes_est,resp_bytes_src,resp_bytes_n,slack_const_s1,slack_const_s2,slack_const_s3,chosen_site_const,slack_bytesonly_s1,slack_bytesonly_s2,slack_bytesonly_s3,chosen_site_bytesonly,slack_fconly_s1,slack_fconly_s2,slack_fconly_s3,chosen_site_fconly,obs_update_ms,backlog_bytes,feasible_set,subset_cluster,feasible_set_const,feasible_set_bytesonly,feasible_set_fconly
1786258519.855,c1,reserve,,0.0,26.34,13.67,3.65,,1,2.71,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258519.855,c1,search,,0.0,31.1,20.71,10.98,,1,0.55,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258519.855,c1,recommend,,0.0,26.76,14.03,4.0,,1,0.54,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258519.855,c2,reserve,,0.0,26.34,13.67,3.65,,1,0.56,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258519.855,c2,search,,0.0,31.1,20.71,10.98,,1,0.52,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258519.855,c2,recommend,,0.0,26.76,14.03,4.0,,1,0.5,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258520.856,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.108,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c1,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c1,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c1,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258521.855,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.13,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c1,reserve,6000,0.053,26.29,13.62,3.6,,0,,0,36.0,prior,0,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,13.62,3.6,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c1,search,6000,6.562,24.54,14.15,4.42,,0,,0,4474.0,prior,0,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,14.15,4.42,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c1,recommend,6000,0.293,26.47,13.73,3.71,,0,,0,200.0,prior,0,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,13.73,3.71,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258522.856,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.098,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c1,reserve,6000,0.053,26.29,13.62,3.6,,0,,0,36.0,prior,0,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,13.62,3.6,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c1,search,6000,6.562,24.54,14.15,4.42,,0,,0,4474.0,prior,0,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,14.15,4.42,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c1,recommend,6000,0.293,26.47,13.73,3.71,,0,,0,200.0,prior,0,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,13.73,3.71,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior,0,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior,0,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258523.856,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior,0,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,0.096,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c1,reserve,6000,0.053,26.29,13.62,3.6,,0,,0,36.0,prior_fill,77,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,13.62,3.6,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c1,search,6000,6.562,24.54,14.15,4.42,,0,,0,4474.0,prior_fill,116,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,14.15,4.42,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c1,recommend,6000,0.293,26.47,13.73,3.71,,0,,0,200.0,prior_fill,149,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,13.73,3.71,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,77,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,116,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258524.859,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,149,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,2.548,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c1,reserve,6000,0.053,26.29,13.62,3.6,,0,,0,36.0,prior_fill,255,26.29,13.62,3.6,,26.29,13.62,3.6,,26.29,13.62,3.6,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c1,search,6000,6.562,24.54,14.15,4.42,,0,,0,4474.0,prior_fill,381,24.54,14.15,4.42,,24.54,14.15,4.42,,24.54,14.15,4.42,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c1,recommend,6000,0.293,26.47,13.73,3.71,,0,,0,200.0,prior_fill,511,26.47,13.73,3.71,,26.47,13.73,3.71,,26.47,13.73,3.71,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c2,reserve,,0.0,26.34,13.67,3.65,,0,,0,36.0,prior_fill,255,26.34,13.67,3.65,,26.34,13.67,3.65,,26.34,13.67,3.65,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c2,search,,0.0,31.1,20.71,10.98,,0,,0,4474.0,prior_fill,381,31.1,20.71,10.98,,31.1,20.71,10.98,,31.1,20.71,10.98,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258525.861,c2,recommend,,0.0,26.76,14.03,4.0,,0,,0,200.0,prior_fill,511,26.76,14.03,4.0,,26.76,14.03,4.0,,26.76,14.03,4.0,,5.58,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c1,reserve,6000,0.053,21.51,13.62,3.6,,0,,0,36.0,obs,343,26.29,13.62,3.6,,26.29,13.62,3.6,,21.51,13.62,3.6,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c1,search,6000,6.562,16.45,13.02,4.79,,0,,0,4474.0,obs,515,24.54,14.15,4.42,,24.54,14.15,4.42,,16.45,13.02,4.79,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c1,recommend,6000,0.293,24.43,13.49,3.98,,0,,0,200.0,obs,693,26.47,13.73,3.71,,26.47,13.73,3.71,,24.43,13.49,3.98,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c2,reserve,,0.0,21.56,13.67,3.65,,0,,0,36.0,obs,343,26.34,13.67,3.65,,26.34,13.67,3.65,,21.56,13.67,3.65,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c2,search,,0.0,23.01,19.58,11.35,,0,,0,4474.0,obs,515,31.1,20.71,10.98,,31.1,20.71,10.98,,23.01,19.58,11.35,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258526.861,c2,recommend,,0.0,24.72,13.79,4.27,,0,,0,200.0,obs,693,26.76,14.03,4.0,,26.76,14.03,4.0,,24.72,13.79,4.27,,5.462,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c1,reserve,6000,0.053,21.77,13.6,3.6,,0,,0,36.0,obs,343,26.29,13.62,3.6,,26.29,13.62,3.6,,21.77,13.6,3.6,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c1,search,6000,6.562,15.23,12.47,4.57,,0,,0,4474.0,obs,516,24.54,14.15,4.42,,24.54,14.15,4.42,,15.23,12.47,4.57,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c1,recommend,6000,0.293,24.38,13.25,3.99,,0,,0,200.0,obs,694,26.47,13.73,3.71,,26.47,13.73,3.71,,24.38,13.25,3.99,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c2,reserve,,0.0,21.82,13.65,3.65,,0,,0,36.0,obs,343,26.34,13.67,3.65,,26.34,13.67,3.65,,21.82,13.65,3.65,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c2,search,,0.0,21.8,19.03,11.13,,0,,0,4474.0,obs,516,31.1,20.71,10.98,,31.1,20.71,10.98,,21.8,19.03,11.13,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258527.861,c2,recommend,,0.0,24.68,13.54,4.29,,0,,0,200.0,obs,694,26.76,14.03,4.0,,26.76,14.03,4.0,,24.68,13.54,4.29,,5.506,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c1,reserve,6000,0.053,22.5,13.43,3.6,,0,,0,36.0,obs,345,26.29,13.62,3.6,,26.29,13.62,3.6,,22.5,13.43,3.6,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c1,search,6000,6.562,15.9,12.41,4.48,,0,,0,4474.0,obs,515,24.54,14.15,4.42,,24.54,14.15,4.42,,15.9,12.41,4.48,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c1,recommend,6000,0.293,24.05,13.01,3.93,,0,,0,200.0,obs,687,26.47,13.73,3.71,,26.47,13.73,3.71,,24.05,13.01,3.93,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c2,reserve,,0.0,22.56,13.49,3.65,,0,,0,36.0,obs,345,26.34,13.67,3.65,,26.34,13.67,3.65,,22.56,13.49,3.65,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c2,search,,0.0,22.46,18.97,11.05,,0,,0,4474.0,obs,515,31.1,20.71,10.98,,31.1,20.71,10.98,,22.46,18.97,11.05,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258528.861,c2,recommend,,0.0,24.35,13.3,4.22,,0,,0,200.0,obs,687,26.76,14.03,4.0,,26.76,14.03,4.0,,24.35,13.3,4.22,,5.346,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c1,reserve,6000,0.053,21.98,13.43,3.6,,0,,0,36.0,obs,348,26.29,13.62,3.6,,26.29,13.62,3.6,,21.98,13.43,3.6,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c1,search,6000,6.562,13.47,12.08,4.85,,0,,0,4474.0,obs,513,24.54,14.15,4.42,,24.54,14.15,4.42,,13.47,12.08,4.85,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c1,recommend,6000,0.293,22.55,13.05,3.93,,0,,0,200.0,obs,689,26.47,13.73,3.71,,26.47,13.73,3.71,,22.55,13.05,3.93,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c2,reserve,,0.0,22.03,13.49,3.65,,0,,0,36.0,obs,348,26.34,13.67,3.65,,26.34,13.67,3.65,,22.03,13.49,3.65,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c2,search,,0.0,20.03,18.64,11.41,,0,,0,4474.0,obs,513,31.1,20.71,10.98,,31.1,20.71,10.98,,20.03,18.64,11.41,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258529.861,c2,recommend,,0.0,22.84,13.34,4.22,,0,,0,200.0,obs,689,26.76,14.03,4.0,,26.76,14.03,4.0,,22.84,13.34,4.22,,5.355,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258530.861,c1,reserve,6000,0.053,21.83,13.59,3.6,,0,,0,36.0,obs,343,26.29,13.62,3.6,,26.29,13.62,3.6,,21.83,13.59,3.6,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258530.861,c1,search,6000,6.562,13.04,12.63,4.42,,0,,0,4474.0,obs,515,24.54,14.15,4.42,,24.54,14.15,4.42,,13.04,12.63,4.42,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258530.861,c1,recommend,6000,0.293,22.65,13.23,3.93,,0,,0,200.0,obs,691,26.47,13.73,3.71,,26.47,13.73,3.71,,22.65,13.23,3.93,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258530.861,c2,reserve,,0.0,21.88,13.64,3.65,,0,,0,36.0,obs,343,26.34,13.67,3.65,,26.34,13.67,3.65,,21.88,13.64,3.65,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
1786258530.861,c2,search,,0.0,19.6,19.19,10.98,,0,,0,4474.0,obs,515,31.1,20.71,10.98,,31.1,20.71,10.98,,19.6,19.19,10.98,,5.4,0,S1|S2|S3,sub_s123,S1|S2|S3,S1|S2|S3,S1|S2|S3
