group,files,rows
M1 f_c (구),9,10800
M1 f_c (v2),9,10800
M2 무릎 (구),13,520000
M2 무릎 (v2),16,840000
N2 d_acc,72,64800
S6 stress,18,1845000
T1 계단,12,8400
M2 혼합(구m2),42,717000
M3,31,27800
