t_rel_s,n,S1_share_pct,edge_inflow_rps,edge_headroom_pct,absorbable_cohorts
94,800,0.0,0.0,100.0,3.01
95,800,0.0,0.0,100.0,3.01
96,800,0.0,0.0,100.0,3.01
97,800,0.0,0.0,100.0,3.01
98,800,0.0,0.0,100.0,3.01
99,800,0.0,0.0,100.0,3.01
100,800,0.0,0.0,100.0,3.01
101,800,0.0,0.0,100.0,3.01
102,800,0.0,0.0,100.0,3.01
103,800,0.0,0.0,100.0,3.01
104,800,0.0,0.0,100.0,3.01
105,800,0.0,0.0,100.0,3.01
106,800,0.0,0.0,100.0,3.01
107,800,0.0,0.0,100.0,3.01
108,800,0.0,0.0,100.0,3.01
109,800,0.0,0.0,100.0,3.01
110,800,0.0,0.0,100.0,3.01
111,800,0.0,0.0,100.0,3.01
112,800,0.0,0.0,100.0,3.01
113,800,0.0,0.0,100.0,3.01
114,800,0.0,0.0,100.0,3.01
115,800,0.0,0.0,100.0,3.01
116,800,0.0,0.0,100.0,3.01
117,800,0.0,0.0,100.0,3.01
118,800,0.0,0.0,100.0,3.01
119,800,0.0,0.0,100.0,3.01
120,800,0.0,0.0,100.0,3.01
121,800,0.0,0.0,100.0,3.01
122,800,0.0,0.0,100.0,3.01
123,800,0.0,0.0,100.0,3.01
124,800,0.0,0.0,100.0,3.01
125,800,0.0,0.0,100.0,3.01
126,800,0.0,0.0,100.0,3.01
127,800,0.0,0.0,100.0,3.01
128,800,0.0,0.0,100.0,3.01
129,800,0.0,0.0,100.0,3.01
130,800,0.0,0.0,100.0,3.01
131,800,0.0,0.0,100.0,3.01
132,800,0.0,0.0,100.0,3.01
133,800,0.0,0.0,100.0,3.01
134,800,0.0,0.0,100.0,3.01
135,800,0.0,0.0,100.0,3.01
136,800,0.0,0.0,100.0,3.01
137,800,0.0,0.0,100.0,3.01
138,800,0.0,0.0,100.0,3.01
139,800,0.0,0.0,100.0,3.01
140,800,0.0,0.0,100.0,3.01
141,800,0.0,0.0,100.0,3.01
142,800,0.0,0.0,100.0,3.01
143,800,0.0,0.0,100.0,3.01
144,800,0.0,0.0,100.0,3.01
145,800,0.0,0.0,100.0,3.01
146,800,0.0,0.0,100.0,3.01
147,800,0.0,0.0,100.0,3.01
148,800,0.0,0.0,100.0,3.01
149,800,0.0,0.0,100.0,3.01
150,800,0.0,0.0,100.0,3.01
151,800,0.0,0.0,100.0,3.01
152,800,0.0,0.0,100.0,3.01
153,800,0.0,0.0,100.0,3.01
154,800,0.0,0.0,100.0,3.01
155,800,0.0,0.0,100.0,3.01
156,800,0.0,0.0,100.0,3.01
157,800,0.0,0.0,100.0,3.01
158,800,0.0,0.0,100.0,3.01
159,800,0.0,0.0,100.0,3.01
160,799,0.0,0.0,100.0,3.01
161,800,0.0,0.0,100.0,3.01
162,800,0.0,0.0,100.0,3.01
163,800,0.0,0.0,100.0,3.01
164,799,0.0,0.0,100.0,3.01
165,801,0.0,0.0,100.0,3.01
166,800,0.0,0.0,100.0,3.01
167,800,0.0,0.0,100.0,3.01
168,800,0.0,0.0,100.0,3.01
169,800,0.0,0.0,100.0,3.01
170,799,0.0,0.0,100.0,3.01
171,801,11.24,89.9,77.53,2.33
172,800,16.62,133.0,66.75,2.01
173,800,16.75,134.0,66.5,2.0
174,800,16.5,132.0,67.0,2.02
175,800,16.62,133.0,66.75,2.01
176,800,16.75,134.0,66.5,2.0
177,799,16.77,134.2,66.46,2.0
178,801,16.6,132.8,66.79,2.01
179,800,16.5,132.0,67.0,2.02
180,800,16.88,135.0,66.25,1.99
181,800,16.62,133.0,66.75,2.01
182,800,16.75,134.0,66.5,2.0
183,800,16.5,132.0,67.0,2.02
184,800,16.62,133.0,66.75,2.01
185,800,16.75,134.0,66.5,2.0
186,800,16.75,134.0,66.5,2.0
187,800,16.62,133.0,66.75,2.01
188,800,16.5,132.0,67.0,2.02
189,799,16.9,135.2,66.21,1.99
190,801,16.6,132.8,66.79,2.01
191,799,16.77,134.2,66.46,2.0
192,800,16.5,132.0,67.0,2.02
193,800,16.62,133.0,66.75,2.01
194,801,16.73,133.8,66.54,2.0
195,799,16.77,134.2,66.46,2.0
196,801,16.6,132.8,66.79,2.01
197,799,16.52,132.2,66.96,2.01
198,800,16.88,135.0,66.25,1.99
199,800,16.62,133.0,66.75,2.01
200,800,16.75,134.0,66.5,2.0
201,800,16.5,132.0,67.0,2.02
202,800,16.62,133.0,66.75,2.01
203,800,16.75,134.0,66.5,2.0
204,800,16.75,134.0,66.5,2.0
205,800,16.62,133.0,66.75,2.01
206,800,16.5,132.0,67.0,2.02
207,800,16.88,135.0,66.25,1.99
208,800,16.62,133.0,66.75,2.01
209,800,16.75,134.0,66.5,2.0
210,800,16.5,132.0,67.0,2.02
211,800,16.62,133.0,66.75,2.01
212,800,16.75,134.0,66.5,2.0
213,800,16.75,134.0,66.5,2.0
214,800,16.62,133.0,66.75,2.01
215,800,16.5,132.0,67.0,2.02
216,800,16.88,135.0,66.25,1.99
217,799,16.65,133.2,66.71,2.01
218,801,16.73,133.8,66.54,2.0
219,800,16.5,132.0,67.0,2.02
220,800,16.62,133.0,66.75,2.01
221,800,16.75,134.0,66.5,2.0
222,799,16.77,134.2,66.46,2.0
223,801,16.6,132.8,66.79,2.01
224,800,16.5,132.0,67.0,2.02
225,800,16.88,135.0,66.25,1.99
226,800,16.62,133.0,66.75,2.01
227,800,16.75,134.0,66.5,2.0
228,800,16.5,132.0,67.0,2.02
229,800,16.62,133.0,66.75,2.01
230,800,16.75,134.0,66.5,2.0
231,800,16.75,134.0,66.5,2.0
232,799,16.52,132.2,66.96,2.01
233,801,16.6,132.8,66.79,2.01
234,800,16.88,135.0,66.25,1.99
235,800,16.62,133.0,66.75,2.01
236,800,16.75,134.0,66.5,2.0
237,800,16.5,132.0,67.0,2.02
238,800,16.62,133.0,66.75,2.01
239,800,16.75,134.0,66.5,2.0
240,799,16.77,134.2,66.46,2.0
241,801,16.6,132.8,66.79,2.01
242,800,16.5,132.0,67.0,2.02
243,800,16.88,135.0,66.25,1.99
244,800,16.62,133.0,66.75,2.01
245,800,16.75,134.0,66.5,2.0
246,800,16.5,132.0,67.0,2.02
247,800,16.62,133.0,66.75,2.01
248,800,16.75,134.0,66.5,2.0
249,800,16.75,134.0,66.5,2.0
250,800,16.62,133.0,66.75,2.01
251,800,16.5,132.0,67.0,2.02
252,800,16.88,135.0,66.25,1.99
253,800,16.62,133.0,66.75,2.01
254,800,16.75,134.0,66.5,2.0
255,800,16.5,132.0,67.0,2.02
256,800,16.62,133.0,66.75,2.01
257,800,16.75,134.0,66.5,2.0
258,800,16.75,134.0,66.5,2.0
259,800,16.62,133.0,66.75,2.01
260,800,16.5,132.0,67.0,2.02
261,800,16.88,135.0,66.25,1.99
262,800,16.62,133.0,66.75,2.01
263,800,16.75,134.0,66.5,2.0
264,800,16.5,132.0,67.0,2.02
265,800,16.62,133.0,66.75,2.01
266,800,16.75,134.0,66.5,2.0
267,800,16.75,134.0,66.5,2.0
268,800,16.62,133.0,66.75,2.01
269,800,16.5,132.0,67.0,2.02
270,800,16.88,135.0,66.25,1.99
271,800,16.62,133.0,66.75,2.01
272,800,16.75,134.0,66.5,2.0
273,800,16.5,132.0,67.0,2.02
274,800,16.62,133.0,66.75,2.01
275,800,16.75,134.0,66.5,2.0
276,800,16.75,134.0,66.5,2.0
277,800,16.62,133.0,66.75,2.01
278,800,16.5,132.0,67.0,2.02
279,800,16.88,135.0,66.25,1.99
280,799,16.65,133.2,66.71,2.01
281,801,16.73,133.8,66.54,2.0
282,799,16.4,131.2,67.21,2.02
283,801,16.73,133.8,66.54,2.0
284,800,16.75,134.0,66.5,2.0
285,800,16.75,134.0,66.5,2.0
286,800,16.62,133.0,66.75,2.01
287,800,16.5,132.0,67.0,2.02
288,800,16.88,135.0,66.25,1.99
289,800,16.62,133.0,66.75,2.01
290,800,16.75,134.0,66.5,2.0
291,800,16.5,132.0,67.0,2.02
292,800,16.62,133.0,66.75,2.01
293,800,16.75,134.0,66.5,2.0
294,800,16.75,134.0,66.5,2.0
295,800,16.62,133.0,66.75,2.01
296,800,16.5,132.0,67.0,2.02
297,800,16.88,135.0,66.25,1.99
298,800,16.62,133.0,66.75,2.01
299,800,16.75,134.0,66.5,2.0
300,798,5.51,44.1,88.97,2.68
301,802,0.0,0.0,100.0,3.01
302,800,0.0,0.0,100.0,3.01
303,800,0.0,0.0,100.0,3.01
304,800,0.0,0.0,100.0,3.01
305,800,0.0,0.0,100.0,3.01
306,800,0.0,0.0,100.0,3.01
307,800,0.0,0.0,100.0,3.01
308,800,0.0,0.0,100.0,3.01
309,800,0.0,0.0,100.0,3.01
310,800,0.0,0.0,100.0,3.01
311,800,0.0,0.0,100.0,3.01
312,800,0.0,0.0,100.0,3.01
313,800,0.0,0.0,100.0,3.01
314,800,0.0,0.0,100.0,3.01
315,800,0.0,0.0,100.0,3.01
316,800,0.0,0.0,100.0,3.01
317,800,0.0,0.0,100.0,3.01
318,800,0.0,0.0,100.0,3.01
319,800,0.0,0.0,100.0,3.01
320,800,0.0,0.0,100.0,3.01
321,800,0.0,0.0,100.0,3.01
322,800,0.0,0.0,100.0,3.01
323,800,0.0,0.0,100.0,3.01
324,800,0.0,0.0,100.0,3.01
325,800,0.0,0.0,100.0,3.01
326,800,0.0,0.0,100.0,3.01
327,800,0.0,0.0,100.0,3.01
328,800,0.0,0.0,100.0,3.01
329,800,0.0,0.0,100.0,3.01
330,800,0.0,0.0,100.0,3.01
331,800,0.0,0.0,100.0,3.01
332,800,0.0,0.0,100.0,3.01
333,800,0.0,0.0,100.0,3.01
334,800,0.0,0.0,100.0,3.01
335,800,0.0,0.0,100.0,3.01
336,800,0.0,0.0,100.0,3.01
337,800,0.0,0.0,100.0,3.01
338,800,0.0,0.0,100.0,3.01
339,800,0.0,0.0,100.0,3.01
340,800,0.0,0.0,100.0,3.01
341,800,0.0,0.0,100.0,3.01
342,800,0.0,0.0,100.0,3.01
343,800,0.0,0.0,100.0,3.01
344,800,0.0,0.0,100.0,3.01
345,800,0.0,0.0,100.0,3.01
346,800,0.0,0.0,100.0,3.01
347,800,0.0,0.0,100.0,3.01
348,800,0.0,0.0,100.0,3.01
349,800,0.0,0.0,100.0,3.01
350,800,0.0,0.0,100.0,3.01
351,800,0.0,0.0,100.0,3.01
352,800,0.0,0.0,100.0,3.01
353,800,0.0,0.0,100.0,3.01
354,800,0.0,0.0,100.0,3.01
355,800,0.0,0.0,100.0,3.01
356,800,0.0,0.0,100.0,3.01
357,800,0.0,0.0,100.0,3.01
358,800,0.0,0.0,100.0,3.01
359,708,0.0,0.0,100.0,3.01
