batch,n_runs,n_done,policies,disturbs,first_run_start,measured_requests,span_min,path
d1-20260804,16,16,bl_loc/bl_lr/bl_rr/site_s3,none/radio/ramp/server,2026-08-04 02:13,4286886,130.9,runs/d1-20260804
demo-20260805,6,6,bl_lr/bl_rr/site_s3/sorts_reactive,none/radio/ramp,2026-08-05 01:45,1689846,42.2,runs/demo-20260805
it-20260805-keep,1,1,sorts_reactive,radio,2026-08-05 01:42,16136,,runs/it-20260805-keep
smoke-v1radio-20260803,4,4,bl_loc/site_s3,none/radio,2026-08-03 12:46,335995,7.9,runs/smoke-v1radio-20260803
smoke2-20260804,5,5,bl_loc/site_s3,none/radio/server,2026-08-04 00:49,296355,11.3,runs/smoke2-20260804
smoke_20260804-0212,5,5,bl_loc/site_s3,none/radio/server,2026-08-04 02:01,199445,9.1,runs/smoke_20260804-0212
