run,policy,n,n_S1,S1_share_pct,edge_inflow_rps,edge_headroom_pct,absorbable_cohorts,source
D2_sorts_radio,SORTS,92097,0,0.0,0.0,100.0,3.01,"D2_sorts_radio/envoy_access.log.gz UPSTREAM_HOST, during window"
D4_rr_radio,Round Robin,91936,30645,33.333,266.7,33.33,1.0,"D4_rr_radio/envoy_access.log.gz UPSTREAM_HOST, during window"
D5_lr_radio,Least Request,91940,44973,48.916,391.3,2.17,0.07,"D5_lr_radio/envoy_access.log.gz UPSTREAM_HOST, during window"
D3_s3_radio,Static-Far (no reaction),92102,0,0.0,0.0,100.0,3.01,"D3_s3_radio/envoy_access.log.gz UPSTREAM_HOST, during window"
D1_sorts_none,SORTS (none),96000,0,0.0,0.0,100.0,3.01,"D1_sorts_none/envoy_access.log.gz UPSTREAM_HOST, during window"
D6_sorts_ramp,SORTS (ramp),188060,16900,8.986,71.9,82.03,2.47,"D6_sorts_ramp/envoy_access.log.gz UPSTREAM_HOST, during window"
