t_rel_inject_s,n,violations,violation_pct
-5,134,0,0.0
-4,134,0,0.0
-3,133,0,0.0
-2,132,0,0.0
-1,132,24,18.18
0,135,68,50.37
1,133,0,0.0
2,132,1,0.76
3,134,0,0.0
4,134,0,0.0
5,133,3,2.26
6,134,0,0.0
7,132,0,0.0
