t_rel_s,rate_mbit
-63.666,
-62.665,
-61.665,
-60.665,
-59.665,
-58.665,
-57.665,
-56.665,
-55.665,
-54.665,
-53.665,
-52.665,
-51.665,
-50.665,
-49.665,
-48.665,
-47.665,
-46.665,
-45.665,
-44.665,
-43.665,
-42.665,
-41.665,
-40.665,
-39.665,
-38.665,
-37.665,
-36.665,
-35.665,
-34.665,
-33.665,
-32.665,
-31.665,
-30.665,
-29.665,
-28.665,
-27.665,
-26.665,
-25.665,
-24.665,
-23.665,
-22.665,
-21.665,
-20.665,
-19.665,
-18.665,
-17.665,
-16.665,
-15.665,
-14.665,
-13.665,
-12.665,
-11.665,
-10.665,
-9.665,
-8.665,
-7.665,
-6.665,
-5.665,
-4.665,
-3.665,
-2.665,
-1.665,
-0.665,
0.335,20.0
1.336,20.0
2.336,20.0
3.336,20.0
4.336,20.0
5.336,20.0
6.336,20.0
7.336,20.0
8.336,20.0
9.336,20.0
10.336,20.0
11.336,20.0
12.336,20.0
13.336,20.0
14.336,20.0
15.336,20.0
16.336,20.0
17.336,20.0
18.336,20.0
19.336,20.0
20.336,20.0
21.336,20.0
22.336,20.0
23.336,20.0
24.336,20.0
25.336,20.0
26.336,20.0
27.336,20.0
28.336,20.0
29.336,20.0
30.336,20.0
31.336,20.0
32.336,20.0
33.336,20.0
34.336,20.0
35.336,20.0
36.336,20.0
37.336,20.0
38.336,20.0
39.336,20.0
40.336,20.0
41.336,20.0
42.336,20.0
43.336,20.0
44.336,20.0
45.336,20.0
46.335,20.0
47.336,20.0
48.336,20.0
49.336,20.0
50.336,20.0
51.336,20.0
52.336,20.0
53.336,20.0
54.336,20.0
55.336,20.0
56.336,20.0
57.336,20.0
58.336,20.0
59.336,20.0
60.336,20.0
61.336,20.0
62.336,20.0
63.336,20.0
64.336,20.0
65.336,20.0
66.336,20.0
67.336,20.0
68.336,20.0
69.336,20.0
70.335,18.327
71.336,18.327
72.336,18.327
73.336,18.327
74.336,18.327
75.336,18.327
76.336,18.327
77.336,18.327
78.336,18.327
79.336,18.327
80.335,
81.336,16.655
82.336,16.655
83.336,16.655
84.336,16.655
85.336,16.655
86.336,16.655
87.336,16.655
88.336,16.655
89.336,16.655
90.336,16.655
91.336,14.982
92.336,14.982
93.336,14.982
94.336,14.982
95.336,14.982
96.336,14.982
97.336,14.982
98.336,14.982
99.336,14.982
100.335,13.309
101.336,13.309
102.336,13.309
103.336,13.309
104.336,13.309
105.336,13.309
106.336,13.309
107.336,13.309
108.336,13.309
109.336,13.309
110.335,
111.336,11.636
112.336,11.636
113.336,11.636
114.336,11.636
115.336,11.636
116.336,11.636
117.336,11.636
118.336,11.636
119.336,11.636
120.336,11.636
121.336,9.964
122.336,9.964
123.336,9.964
124.336,9.964
125.336,9.964
126.336,9.964
127.336,9.964
128.336,9.964
129.336,9.964
130.335,8.291
131.336,8.291
132.336,8.291
133.336,8.291
134.336,8.291
135.336,8.291
136.336,8.291
137.336,8.291
138.336,8.291
139.336,8.291
140.335,6.618
141.336,6.618
142.336,6.618
143.336,6.618
144.336,6.618
145.336,6.618
146.336,6.618
147.336,6.618
148.336,6.618
149.336,6.618
150.336,6.618
151.336,4.945
152.336,4.945
153.336,4.945
154.336,4.945
155.336,4.945
156.336,4.945
157.336,4.945
158.336,4.945
159.336,4.945
160.335,3.273
161.336,3.273
162.336,3.273
163.336,3.273
164.336,3.273
165.336,3.273
166.336,3.273
167.336,3.273
168.336,3.273
169.336,3.273
170.335,3.273
171.336,1.6
172.336,1.6
173.336,1.6
174.336,1.6
175.336,1.6
176.336,1.6
177.336,1.6
178.336,1.6
179.336,1.6
180.336,1.6
181.336,1.6
182.335,1.6
183.336,1.6
184.336,1.6
185.336,1.6
186.336,1.6
187.336,1.6
188.336,1.6
189.336,1.6
190.336,1.6
191.336,1.6
192.336,1.6
193.336,1.6
194.336,1.6
195.336,1.6
196.336,1.6
197.336,1.6
198.336,1.6
199.336,1.6
200.336,1.6
201.336,1.6
202.336,1.6
203.336,1.6
204.336,1.6
205.336,1.6
206.336,1.6
207.336,1.6
208.336,1.6
209.336,1.6
210.336,1.6
211.336,1.6
212.336,1.6
213.336,1.6
214.336,1.6
215.336,1.6
216.336,1.6
217.336,1.6
218.336,1.6
219.336,1.6
220.336,1.6
221.336,1.6
222.336,1.6
223.336,1.6
224.336,1.6
225.336,1.6
